source,trial,calibration_contexts,method,kl,js,tv,top1_flip,top10_overlap,fitted_scale
controlled:scale,0,2,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,0,2,temperature,0.0009870510527298778,0.00024650353415230336,0.01766900312659267,0.03,0.9727500000000001,1.2296369471473965
controlled:scale,0,2,temperature+rank,0.001193825148054056,0.0002985291925827513,0.019608551882912807,0.03,0.9727500000000001,
controlled:scale,0,2,isotonic,0.0096305317448416,0.002226025906793437,0.03144019755909686,0.03833333333333333,0.9726666666666667,
controlled:scale,0,2,temperature+token-bias,0.0009930295705722987,0.00024800716798268686,0.017735402759064194,0.0325,0.9717500000000001,
controlled:scale,0,2,temperature+token-bias+PCA,0.0009930295705722996,0.00024800716798268675,0.017735402759064194,0.0325,0.9717500000000001,
controlled:scale,0,4,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,0,4,temperature,0.000873633184369312,0.00021831023304493823,0.01655404050357977,0.03,0.9727500000000001,1.2220033601936005
controlled:scale,0,4,temperature+rank,0.0009459624127722974,0.00023640624646601428,0.017315732120645362,0.03,0.9727500000000001,
controlled:scale,0,4,isotonic,0.01039933171586334,0.0023858241939682446,0.03126375171723738,0.03833333333333333,0.9717500000000001,
controlled:scale,0,4,temperature+token-bias,0.000895491341658499,0.0002237636373250168,0.016769049259073826,0.030833333333333334,0.9718333333333333,
controlled:scale,0,4,temperature+token-bias+PCA,0.0009111572141410814,0.0002276908905091168,0.016902997612429083,0.03,0.9717500000000001,
controlled:scale,0,8,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,0,8,temperature,0.0008629334553936078,0.00021568889835063798,0.016458388067110353,0.03,0.9727500000000001,1.2189108539804006
controlled:scale,0,8,temperature+rank,0.0008856504943346172,0.00022132227310058547,0.01670122407250575,0.03,0.9727500000000001,
controlled:scale,0,8,isotonic,0.010338135601489298,0.0023751226737634542,0.03149522495526273,0.03833333333333333,0.9722500000000001,
controlled:scale,0,8,temperature+token-bias,0.0008881022052845578,0.0002219716216953464,0.016700235509340338,0.035833333333333335,0.9714166666666665,
controlled:scale,0,8,temperature+token-bias+PCA,0.0009317162897173026,0.00023287547354821497,0.017110147151507316,0.030833333333333334,0.9716666666666667,
controlled:scale,0,16,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,0,16,temperature,0.0008804462738016705,0.00022013672600222856,0.016675994451265885,0.03,0.9727500000000001,1.2147762368203403
controlled:scale,0,16,temperature+rank,0.0008888357389960131,0.0002222665391299606,0.01679021376274793,0.029166666666666667,0.9727500000000001,
controlled:scale,0,16,isotonic,0.002079662697170116,0.0005209520139077856,0.019460171814434938,0.030833333333333334,0.9720833333333333,
controlled:scale,0,16,temperature+token-bias,0.000892301584837058,0.00022307015901442865,0.016764934738030177,0.029166666666666667,0.9719166666666669,
controlled:scale,0,16,temperature+token-bias+PCA,0.0009297897693065956,0.00023245203567732697,0.017106660752051077,0.03166666666666667,0.9706666666666667,
controlled:scale,0,32,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,0,32,temperature,0.0008841911533310522,0.000221080013268883,0.016717090258218978,0.03,0.9727500000000001,1.2143639107848672
controlled:scale,0,32,temperature+rank,0.0008905110010548582,0.00022267257566271247,0.016793106200169484,0.03,0.9727500000000001,
controlled:scale,0,32,isotonic,0.0020440036440140157,0.0005120202381106414,0.019310980543468206,0.030833333333333334,0.9720000000000001,
controlled:scale,0,32,temperature+token-bias,0.0008862819861305463,0.00022157698692265137,0.016714879177089876,0.030833333333333334,0.9723333333333335,
controlled:scale,0,32,temperature+token-bias+PCA,0.0009028893177551804,0.00022573721213743847,0.0168866161614085,0.03166666666666667,0.9718333333333333,
controlled:scale,0,64,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,0,64,temperature,0.0008689107474022891,0.0002172243445361538,0.016544313509994555,0.03,0.9727500000000001,1.2164612364707315
controlled:scale,0,64,temperature+rank,0.0008707938521537069,0.00021770212000891924,0.016571263450576298,0.03,0.9727500000000001,
controlled:scale,0,64,isotonic,0.0020081867293530583,0.0005029237341592137,0.018954391319077776,0.03166666666666667,0.9725833333333335,
controlled:scale,0,64,temperature+token-bias,0.0008741743641680284,0.0002185234886277528,0.016581969846377054,0.029166666666666667,0.9725833333333332,
controlled:scale,0,64,temperature+token-bias+PCA,0.0008787196932095762,0.00021965392474624813,0.016624641574196942,0.03,0.9720000000000001,
controlled:scale,1,2,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,1,2,temperature,0.0008790824254489101,0.00021979301655612756,0.016660945768765072,0.03,0.9727500000000001,1.2149372412175004
controlled:scale,1,2,temperature+rank,0.00105307367877862,0.00026292244446482564,0.018214708558899492,0.03,0.9727500000000001,
controlled:scale,1,2,isotonic,0.036236663954706254,0.007660497893627244,0.059688505776732334,0.11666666666666667,0.9725833333333332,
controlled:scale,1,2,temperature+token-bias,0.0008903270045086735,0.00022259484504815686,0.016761450959377613,0.03,0.9723333333333333,
controlled:scale,1,2,temperature+token-bias+PCA,0.0008903270045086707,0.00022259484504815686,0.016761450959377613,0.03,0.9723333333333333,
controlled:scale,1,4,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,1,4,temperature,0.0008646208257645261,0.0002161332723778861,0.01648893233029092,0.03,0.9727500000000001,1.217570295005709
controlled:scale,1,4,temperature+rank,0.0009517147879530156,0.00023777162702885176,0.017343856979686666,0.03,0.9727500000000001,
controlled:scale,1,4,isotonic,0.002460983550263242,0.0006133688674693151,0.020971509398769805,0.03,0.9723333333333335,
controlled:scale,1,4,temperature+token-bias,0.0008889737948330423,0.00022221386813350787,0.016716237304782697,0.030833333333333334,0.9725833333333332,
controlled:scale,1,4,temperature+token-bias+PCA,0.0008971484402411167,0.00022425989235135926,0.016791370599621477,0.03,0.9720833333333333,
controlled:scale,1,8,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,1,8,temperature,0.0008629280525457384,0.00021568829896157244,0.01645869276606785,0.03,0.9727500000000001,1.2188663605042451
controlled:scale,1,8,temperature+rank,0.0008956388424515297,0.0002238196144107234,0.016795749935007032,0.03,0.9727500000000001,
controlled:scale,1,8,isotonic,0.0023786828939866226,0.000592747122164865,0.02028866703946909,0.03333333333333333,0.9711666666666667,
controlled:scale,1,8,temperature+token-bias,0.0008942907601759135,0.0002235120475846113,0.016771489367313087,0.03166666666666667,0.9715833333333332,
controlled:scale,1,8,temperature+token-bias+PCA,0.0009230567671904772,0.0002306906829797375,0.017033349476376768,0.030833333333333334,0.9706666666666667,
controlled:scale,1,16,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,1,16,temperature,0.0008642783211207805,0.00021604538897864765,0.01648399973405919,0.03,0.9727500000000001,1.21770498004821
controlled:scale,1,16,temperature+rank,0.0008718378334523687,0.0002179161487510125,0.016553447580055676,0.03,0.9727500000000001,
controlled:scale,1,16,isotonic,0.0023598463208788748,0.0005880132686158714,0.020064217966466544,0.0325,0.9713333333333333,
controlled:scale,1,16,temperature+token-bias,0.0008835939265510673,0.00022087672875337834,0.016663301973797104,0.0325,0.9714166666666669,
controlled:scale,1,16,temperature+token-bias+PCA,0.0009164381427478905,0.0002290698937256641,0.0169665134685503,0.0325,0.9720000000000001,
controlled:scale,1,32,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
