source,trial,calibration_contexts,method,temperature,top_p,js,tv
controlled:scale,0,16,"same T,p",0.8,0.95,0.033742263988308305,0.1668316548003529
controlled:scale,0,16,tuned T,0.65,0.95,0.0014857969128881652,0.02245161536415662
controlled:scale,0,16,"tuned T,p",0.65,0.95,0.0014857969128881652,0.02245161536415662
controlled:scale,0,16,temperature+rank,0.8,0.95,0.0012575810229056089,0.021471475816162693
controlled:scale,0,16,temperature+token-bias+PCA,0.8,0.95,0.0013137517407827743,0.022202336391447138
controlled:scale,0,64,"same T,p",0.8,0.95,0.033742263988308305,0.1668316548003529
controlled:scale,0,64,tuned T,0.65,0.95,0.0014857969128881652,0.02245161536415662
controlled:scale,0,64,"tuned T,p",0.65,0.95,0.0014857969128881652,0.02245161536415662
controlled:scale,0,64,temperature+rank,0.8,0.95,0.001201644934174941,0.02084156222420386
controlled:scale,0,64,temperature+token-bias+PCA,0.8,0.95,0.0012130345652806133,0.020998553965501175
controlled:scale,1,16,"same T,p",0.8,0.95,0.033742263988308305,0.1668316548003529
controlled:scale,1,16,tuned T,0.65,0.95,0.0014857969128881652,0.02245161536415662
controlled:scale,1,16,"tuned T,p",0.65,0.95,0.0014857969128881652,0.02245161536415662
controlled:scale,1,16,temperature+rank,0.8,0.95,0.0012261613305710735,0.021321396891072666
controlled:scale,1,16,temperature+token-bias+PCA,0.8,0.95,0.0012335106644060082,0.021255408726189
controlled:scale,1,64,"same T,p",0.8,0.95,0.033742263988308305,0.1668316548003529
controlled:scale,1,64,tuned T,0.65,0.95,0.0014857969128881652,0.02245161536415662
controlled:scale,1,64,"tuned T,p",0.65,0.95,0.0014857969128881652,0.02245161536415662
controlled:scale,1,64,temperature+rank,0.8,0.95,0.001212107483804008,0.020901207917510618
controlled:scale,1,64,temperature+token-bias+PCA,0.8,0.95,0.0012260084797215555,0.021024499782471163
controlled:scale,2,16,"same T,p",0.8,0.95,0.033742263988308305,0.1668316548003529
controlled:scale,2,16,tuned T,0.65,0.95,0.0014857969128881652,0.02245161536415662
controlled:scale,2,16,"tuned T,p",0.65,0.95,0.0014857969128881652,0.02245161536415662
controlled:scale,2,16,temperature+rank,0.8,0.95,0.0012069417778246606,0.020878702065631125
controlled:scale,2,16,temperature+token-bias+PCA,0.8,0.95,0.0012349812916932768,0.021299791848601052
controlled:scale,2,64,"same T,p",0.8,0.95,0.033742263988308305,0.1668316548003529
controlled:scale,2,64,tuned T,0.65,0.95,0.0014857969128881652,0.02245161536415662
controlled:scale,2,64,"tuned T,p",0.65,0.95,0.0014857969128881652,0.02245161536415662
controlled:scale,2,64,temperature+rank,0.8,0.95,0.0012104762799789895,0.02088761972824536
controlled:scale,2,64,temperature+token-bias+PCA,0.8,0.95,0.0012116365151448782,0.020994795177540784
controlled:scale,3,16,"same T,p",0.8,0.95,0.033742263988308305,0.1668316548003529
controlled:scale,3,16,tuned T,0.65,0.95,0.0014857969128881652,0.02245161536415662
controlled:scale,3,16,"tuned T,p",0.65,0.95,0.0014857969128881652,0.02245161536415662
controlled:scale,3,16,temperature+rank,0.8,0.95,0.0012103831840521496,0.020984751235778417
controlled:scale,3,16,temperature+token-bias+PCA,0.8,0.95,0.0012485110823891564,0.021418755787621726
controlled:scale,3,64,"same T,p",0.8,0.95,0.033742263988308305,0.1668316548003529
controlled:scale,3,64,tuned T,0.65,0.95,0.0014857969128881652,0.02245161536415662
controlled:scale,3,64,"tuned T,p",0.65,0.95,0.0014857969128881652,0.02245161536415662
controlled:scale,3,64,temperature+rank,0.8,0.95,0.001204970858096764,0.02083674188390693
controlled:scale,3,64,temperature+token-bias+PCA,0.8,0.95,0.001213926633357312,0.020943076065230114
controlled:scale,4,16,"same T,p",0.8,0.95,0.033742263988308305,0.1668316548003529
controlled:scale,4,16,tuned T,0.65,0.95,0.0014857969128881652,0.02245161536415662
controlled:scale,4,16,"tuned T,p",0.65,0.95,0.0014857969128881652,0.02245161536415662
controlled:scale,4,16,temperature+rank,0.8,0.95,0.0012035579270923303,0.020875496350326365
controlled:scale,4,16,temperature+token-bias+PCA,0.8,0.95,0.0012365877533962314,0.02144730173160805
