source,trial,calibration_contexts,method,sampling_temperature,kl,js,tv,top1_flip,top10_overlap
controlled:mixed,0,64,identity,0.55,0.2673914194899721,0.06468124010343293,0.280059515485468,0.325,0.7770833333333333
controlled:mixed,0,64,identity,0.8,0.16831968537951186,0.040498747991857736,0.22921572195294676,0.325,0.7770833333333333
controlled:mixed,0,64,identity,1.0,0.11000849709732845,0.02642256305244427,0.18353064011581527,0.325,0.7770833333333333
controlled:mixed,0,64,identity,1.3,0.06118863787257029,0.01479828141999391,0.13490604964500663,0.325,0.7770833333333333
controlled:mixed,0,64,temperature,0.55,0.22295215721657816,0.051461234419519206,0.2382052342289415,0.325,0.7770833333333333
controlled:mixed,0,64,temperature,0.8,0.12353504807949506,0.029470333799565155,0.1856358481481117,0.325,0.7770833333333333
controlled:mixed,0,64,temperature,1.0,0.08058127921897469,0.019482547365234918,0.1509896776536575,0.325,0.7770833333333333
controlled:mixed,0,64,temperature,1.3,0.04720357095200621,0.011551160842620697,0.11582469371300495,0.325,0.7770833333333333
controlled:mixed,0,64,temperature+token-bias,0.55,0.19140883787997134,0.04410245382202156,0.2166792518092773,0.30916666666666665,0.7995000000000001
controlled:mixed,0,64,temperature+token-bias,0.8,0.10691744567174347,0.025536884383466133,0.17022600434348883,0.30916666666666665,0.7995000000000001
controlled:mixed,0,64,temperature+token-bias,1.0,0.07027398479002639,0.017027706560585953,0.1389151230357225,0.30916666666666665,0.7995000000000001
controlled:mixed,0,64,temperature+token-bias,1.3,0.041486862045724396,0.010174242581981392,0.10681378704090085,0.30916666666666665,0.7995000000000001
controlled:mixed,0,64,temperature+token-bias+PCA,0.55,0.01591955760445156,0.003982876902692791,0.0665122519734284,0.1,0.9354166666666667
controlled:mixed,0,64,temperature+token-bias+PCA,0.8,0.009165549212838771,0.0022868849401117383,0.05312721564285461,0.1,0.9354166666666667
controlled:mixed,0,64,temperature+token-bias+PCA,1.0,0.005947749874172277,0.0014829015162593682,0.042878205860826725,0.1,0.9354166666666667
controlled:mixed,0,64,temperature+token-bias+PCA,1.3,0.003417385973509736,0.0008523603628555953,0.03234618048679282,0.1,0.9354166666666667
controlled:mixed,1,64,identity,0.55,0.2673914194899721,0.06468124010343293,0.280059515485468,0.325,0.7770833333333333
controlled:mixed,1,64,identity,0.8,0.16831968537951186,0.040498747991857736,0.22921572195294676,0.325,0.7770833333333333
controlled:mixed,1,64,identity,1.0,0.11000849709732845,0.02642256305244427,0.18353064011581527,0.325,0.7770833333333333
controlled:mixed,1,64,identity,1.3,0.06118863787257029,0.01479828141999391,0.13490604964500663,0.325,0.7770833333333333
controlled:mixed,1,64,temperature,0.55,0.2230519161821366,0.05139091334745983,0.23780586288541763,0.325,0.7770833333333333
controlled:mixed,1,64,temperature,0.8,0.12352498874168447,0.029448912955110044,0.18544437792610183,0.325,0.7770833333333333
controlled:mixed,1,64,temperature,1.0,0.08070325327118617,0.01950839791035514,0.1510222377747392,0.325,0.7770833333333333
controlled:mixed,1,64,temperature,1.3,0.04740931166745719,0.011601510467247696,0.11605049529059627,0.325,0.7770833333333333
controlled:mixed,1,64,temperature+token-bias,0.55,0.19505774792106412,0.04474353340289197,0.21824362792805374,0.30583333333333335,0.80025
controlled:mixed,1,64,temperature+token-bias,0.8,0.10833074290241702,0.025820320927279573,0.17104095410205397,0.30583333333333335,0.80025
controlled:mixed,1,64,temperature+token-bias,1.0,0.07114341735760074,0.017217471269297027,0.1396130015650191,0.30583333333333335,0.80025
controlled:mixed,1,64,temperature+token-bias,1.3,0.04204788889377171,0.010304125548376423,0.10744806120839459,0.30583333333333335,0.80025
controlled:mixed,1,64,temperature+token-bias+PCA,0.55,0.015000625850756007,0.0037582085712305467,0.06421271440014761,0.09833333333333333,0.9370833333333334
controlled:mixed,1,64,temperature+token-bias+PCA,0.8,0.00871562467227809,0.0021765625641651885,0.051652814932862334,0.09833333333333333,0.9370833333333334
controlled:mixed,1,64,temperature+token-bias+PCA,1.0,0.005686965744613738,0.0014187206076717604,0.04192540225457608,0.09833333333333333,0.9370833333333334
controlled:mixed,1,64,temperature+token-bias+PCA,1.3,0.003290045757694945,0.000820871486230915,0.03180487530225481,0.09833333333333333,0.9370833333333334
controlled:mixed,2,64,identity,0.55,0.2673914194899721,0.06468124010343293,0.280059515485468,0.325,0.7770833333333333
controlled:mixed,2,64,identity,0.8,0.16831968537951186,0.040498747991857736,0.22921572195294676,0.325,0.7770833333333333
controlled:mixed,2,64,identity,1.0,0.11000849709732845,0.02642256305244427,0.18353064011581527,0.325,0.7770833333333333
controlled:mixed,2,64,identity,1.3,0.06118863787257029,0.01479828141999391,0.13490604964500663,0.325,0.7770833333333333
controlled:mixed,2,64,temperature,0.55,0.2229567461716854,0.051566584884666235,0.23874059247058435,0.325,0.7770833333333333
controlled:mixed,2,64,temperature,0.8,0.12366539399806399,0.029521835176718483,0.1859686789255575,0.325,0.7770833333333333
controlled:mixed,2,64,temperature,1.0,0.08053578073151262,0.019474836289550754,0.1510575693034497,0.325,0.7770833333333333
controlled:mixed,2,64,temperature,1.3,0.04702882804593326,0.011507960555381069,0.11565057745298311,0.325,0.7770833333333333
controlled:mixed,2,64,temperature+token-bias,0.55,0.1906499984523814,0.04385500603389696,0.21631767016735665,0.305,0.8003333333333333
controlled:mixed,2,64,temperature+token-bias,0.8,0.10680696919704748,0.02549768181169214,0.17051029154371894,0.305,0.8003333333333333
controlled:mixed,2,64,temperature+token-bias,1.0,0.07021631819129366,0.01701186436977269,0.13917658848247483,0.305,0.8003333333333333
controlled:mixed,2,64,temperature+token-bias,1.3,0.04140592606876028,0.010155387437748489,0.10689555296941383,0.305,0.8003333333333333
controlled:mixed,2,64,temperature+token-bias+PCA,0.55,0.016299752075696266,0.004088632317534437,0.06740719880597645,0.0975,0.9346666666666666
controlled:mixed,2,64,temperature+token-bias+PCA,0.8,0.009551927813309193,0.00238562009819359,0.05423631282094291,0.0975,0.9346666666666666
controlled:mixed,2,64,temperature+token-bias+PCA,1.0,0.006209357065814031,0.0015485654954809952,0.04383162701542142,0.0975,0.9346666666666666
