document,chunk,positions,baseline_kl,candidate_kl,kl_reduction,baseline_js,candidate_js
stdlib-argparse,0,63,0.6270120275744592,0.6098650305417351,0.017146997032724043,0.13048528351022728,0.12642463670890142
stdlib-argparse,1,63,0.1821297019380995,0.17137672918218572,0.010752972755913776,0.04464922419835588,0.041665399130463826
stdlib-argparse,2,63,0.3194348556370685,0.2887653795504963,0.030669476086572223,0.06895602688635133,0.06276928387923983
stdlib-argparse,3,63,0.28981788914240625,0.29755624497088967,-0.007738355828483423,0.0634738767015605,0.06388125794198427
stdlib-argparse,4,63,0.2457423496227767,0.24314641238131102,0.0025959372414656734,0.05779069628444256,0.05703195590503749
stdlib-argparse,5,63,0.32865633645893205,0.2897879087993513,0.03886842765958076,0.06958461559152633,0.06112718937393289
stdlib-argparse,6,63,0.16883080277133675,0.19101396893956774,-0.02218316616823099,0.041638957172200744,0.046289337858315634
stdlib-argparse,7,63,0.1539773288883254,0.15863629426097586,-0.004658965372650453,0.035241829949622376,0.035659795379673134
stdlib-argparse,8,63,0.14579769556988298,0.13372698682660628,0.012070708743276704,0.03146354045918362,0.028752971196729683
stdlib-argparse,9,63,0.17404283020120587,0.16668876695367213,0.0073540632475337375,0.041051479123578045,0.038708368407357724
stdlib-argparse,10,63,0.19445565532441833,0.17802593842347889,0.016429716900939445,0.04272617777420843,0.04052715400977167
stdlib-argparse,11,63,0.31770615569777355,0.3128121420768222,0.004894013620951376,0.0767302000817258,0.07572114325081375
stdlib-argparse,12,63,0.17942227861896667,0.15877321389150836,0.02064906472745831,0.040526650049489236,0.036420133658519635
stdlib-argparse,13,63,0.15141461566651873,0.1572108024013846,-0.005796186734865871,0.035704718738261795,0.037502177736574334
stdlib-argparse,14,63,0.12165704103314229,0.11450117681312212,0.007155864220020167,0.028461897618514725,0.026586469806745068
stdlib-argparse,15,63,0.28440961776424145,0.25207705587164375,0.0323325618925977,0.05671421597501663,0.05249310858228758
stdlib-argparse,16,63,0.186985963513998,0.21425405168823394,-0.027268088174235955,0.04048924619862177,0.043793285701270626
stdlib-argparse,17,63,0.21953510319179345,0.2205411878510079,-0.0010060846592144512,0.044433193823005285,0.044453783432064006
stdlib-argparse,18,63,0.5000554101616939,0.51269328874182,-0.012637878580126105,0.10909399336623975,0.11150829989241001
stdlib-argparse,19,63,0.09691172583497684,0.08320350502917935,0.013708220805797491,0.02517033473730819,0.02146751812892222
stdlib-argparse,20,63,0.39851511612713303,0.4121605767978176,-0.013645460670684562,0.08591862916214196,0.08886644404623122
stdlib-argparse,21,63,0.1088729121647955,0.09557469182783236,0.013298220336963137,0.02678495551395648,0.023598750100400176
stdlib-argparse,22,63,0.12351385543083851,0.10329633506680982,0.020217520364028685,0.031586868697349786,0.027046514045084208
stdlib-argparse,23,63,0.15223438445248158,0.12984771364929093,0.02238667080319065,0.03407226053190647,0.02953687242701822
stdlib-argparse,24,63,0.1257965195906027,0.11902577116589305,0.0067707484247096494,0.03125227987787921,0.029569996186327198
stdlib-argparse,25,63,0.12519546100664894,0.12245576721311192,0.0027396937935370153,0.029924709348961187,0.029203942226234045
stdlib-argparse,26,63,0.1383328359092596,0.1354419413503834,0.0028908945588762003,0.033160489698778814,0.03340212464892887
stdlib-argparse,27,63,0.10840820119483396,0.10454314149232925,0.003865059702504711,0.028384994504651533,0.02716567626749378
stdlib-argparse,28,63,0.34452838899631477,0.36293649320797405,-0.018408104211659282,0.07363305095910504,0.0754157904710386
stdlib-argparse,29,63,0.25286086882018327,0.2376101485708551,0.015250720249328165,0.04898416618296266,0.046730507039972016
stdlib-argparse,30,63,0.27214312310383004,0.27684193514690536,-0.004698812043075318,0.05919295856815985,0.06015182308625472
stdlib-argparse,31,63,0.1895755264108413,0.2035733738970492,-0.013997847486207887,0.04424041847781313,0.04645363035764141
llama-sampling,0,63,0.16445966561424563,0.16014403386638842,0.004315631747857207,0.03989904689180029,0.03887546639105004
llama-sampling,1,63,0.04867631232311021,0.047232654674556014,0.0014436576485541974,0.010915306443070084,0.010129362329821551
llama-sampling,2,63,0.09570261081523587,0.08855482096202202,0.007147789853213848,0.0225487982500035,0.0201188941016101
llama-sampling,3,63,0.10826456508486502,0.09155636342552859,0.01670820165933644,0.026668053444226975,0.02286342276175179
llama-sampling,4,63,0.08837427267673544,0.08602532910160898,0.0023489435751264526,0.021135775739345435,0.020443866708081345
llama-sampling,5,63,0.32773183968836544,0.3304333387828332,-0.002701499094467763,0.07205863074133438,0.07338577146307966
llama-sampling,6,63,0.22524506077885265,0.26476054579478164,-0.039515485015929,0.053192919131658654,0.0616224314668353
llama-sampling,7,63,0.11495375272294503,0.10679409261490311,0.008159660108041922,0.025374508251446506,0.023201766647789987
llama-sampling,8,63,0.17158878618451243,0.15553937155969574,0.016049414624816682,0.03890019983612994,0.035143484847746244
llama-sampling,9,63,0.14597439308769056,0.1434950747218589,0.002479318365831651,0.03553303158026658,0.03509572293668974
llama-sampling,10,63,0.41312854224954554,0.4024816121427215,0.010646930106824049,0.07785389976366527,0.07820815172129057
llama-sampling,11,63,0.41156333560744923,0.3951627382406196,0.01640059736682964,0.08216375596072924,0.07766151898526698
llama-sampling,12,63,0.07863289551362829,0.0896167369000779,-0.010983841386449616,0.01703060673498684,0.01796056057614959
llama-sampling,13,63,0.20964605295751151,0.19519179853211557,0.01445425442539594,0.04625010818454174,0.04434537202970234
llama-sampling,14,63,0.18136752292279168,0.17018376349467815,0.011183759428113532,0.04293092750355307,0.040677449898187966
llama-sampling,15,63,0.052504545095063,0.04556888493445715,0.006935660160605851,0.012695299114121943,0.011238931880897658
llama-sampling,16,63,0.1358467092156807,0.1524979600992718,-0.016651250883591096,0.03308382024964351,0.03570741759082762
llama-sampling,17,63,0.1736893317562164,0.1707795620320775,0.0029097697241388942,0.042395683387136764,0.04162026525019096
llama-sampling,18,63,0.17566553882355196,0.17052034400420246,0.005145194819349497,0.04073880305674489,0.04105597756818728
llama-sampling,19,63,0.17792750156155626,0.16875920222290525,0.009168299338651015,0.04169011570194839,0.03920134739890937
llama-sampling,20,63,0.261494342586033,0.23792362602098222,0.023570716565050776,0.05931302059850298,0.05450775577215638
llama-sampling,21,63,0.2301941699873183,0.25433521242147045,-0.02414104243415216,0.05237549038267591,0.05638325853191967
llama-sampling,22,63,0.26792960967000073,0.27142508113054586,-0.00349547146054513,0.05929216197234512,0.059305687414182885
llama-sampling,23,63,0.13615478173954806,0.1497072119516613,-0.013552430212113248,0.03257802277450884,0.034832078330656
llama-sampling,24,63,0.2061559469762465,0.19741480993056146,0.008741137045685049,0.044176888774379065,0.041894504802229
llama-sampling,25,63,0.1820192805257287,0.1496179502147055,0.032401330311023185,0.04304906366658521,0.0349184324762042
llama-sampling,26,63,0.1496970885624496,0.12373978584917726,0.02595730271327233,0.03150010352188413,0.024446164810446213
llama-sampling,27,63,0.2533619703730986,0.28272095166915007,-0.029358981296051467,0.052108290726895545,0.055100258084729875
llama-sampling,28,63,0.138339300349813,0.13442188272823669,0.0039174176215763246,0.031087864992716478,0.03042393877287742
llama-sampling,29,63,0.3214208656821043,0.2720246916180749,0.04939617406402941,0.04831499720142217,0.047465253618275666
llama-sampling,30,63,0.10911558368963366,0.11012960856183666,-0.0010140248722030065,0.02506726383032242,0.02687654129691069
llama-sampling,31,63,0.13306216090862266,0.13629274732444346,-0.003230586415820802,0.032571732075608914,0.033553332414574775
server-docs,0,63,0.2905858637586428,0.26402922254332917,0.026556641215313648,0.06007695990286713,0.06126429645222299
server-docs,1,63,0.2814441395310005,0.2565641391482795,0.02488000038272098,0.06053481823099511,0.05569866247103727
server-docs,2,63,0.18472769918910686,0.19414605632690446,-0.009418357137797595,0.04423552322005558,0.045916292763967435
server-docs,3,63,0.2932378372523032,0.2629912531697228,0.030246584082580352,0.0637879695171409,0.05790518331657892
server-docs,4,63,0.1115880724419618,0.10866620819017823,0.0029218642517835625,0.02719160010862637,0.026563104994166347
server-docs,5,63,0.15317577266666507,0.15902691769287997,-0.005851145026214893,0.03550360208822577,0.037065686700294635
server-docs,6,63,0.20901843390420832,0.21762021676130688,-0.008601782857098561,0.04785920968261991,0.04932072056459537
server-docs,7,63,0.3722122950216761,0.3995799413690018,-0.027367646347325747,0.07419210905438722,0.07725437032177214
server-docs,8,63,0.14071902790826807,0.15002414517463572,-0.009305117266367652,0.035071096806610684,0.03720289692591905
server-docs,9,63,0.2973322000677962,0.3041992407680294,-0.006867040700233196,0.06347102776139547,0.06550473408613412
server-docs,10,63,0.3223017143041972,0.29138370671058683,0.030918007593610353,0.06920561689279899,0.06542014725484643
server-docs,11,63,0.2692164622773459,0.16364808418435883,0.10556837809298708,0.03833362206857636,0.03312443073167334
server-docs,12,63,0.2052963614317825,0.22344686780129522,-0.01815050636951271,0.04135045468697244,0.047461046607427955
server-docs,13,63,0.3649063091953784,0.31855108298357604,0.04635522621180238,0.07535742973363489,0.06818123939221608
server-docs,14,63,0.28451961160190253,0.23915018667581275,0.04536942492608978,0.05886647977516236,0.052837916527991295
server-docs,15,63,0.2715912442926931,0.2272560188019501,0.04433522549074301,0.06052096920378366,0.050692667568617775
server-docs,16,63,0.36159035364309805,0.24162219527640863,0.11996815836668942,0.07624291175353926,0.053784782887536464
server-docs,17,63,0.5363361420761702,0.5011611174454124,0.035175024630757834,0.09815535460314542,0.09302547640661596
server-docs,18,63,0.23782164239789366,0.23248369293564575,0.005337949462247915,0.04950853376534984,0.04834561743160838
server-docs,19,63,0.13092058228184691,0.15680204472696388,-0.025881462445116965,0.031238176130464413,0.036515704385295514
server-docs,20,63,0.14507409772057953,0.14306672472936216,0.0020073729912173655,0.032111910689915625,0.030432609141605952
server-docs,21,63,0.21112184789741323,0.18613117154041353,0.024990676356999697,0.04887611795330154,0.042807268675142764
server-docs,22,63,0.1597935391365022,0.1499628232133026,0.009830715923199618,0.0372863736598187,0.03525494382443463
server-docs,23,63,0.3423678720977882,0.31995212154219016,0.022415750555598024,0.06810178291019088,0.06352648153944525
server-docs,24,63,0.20580965884599006,0.1596598768244601,0.04614978202152997,0.0452476452712925,0.03607690014905529
server-docs,25,63,0.183963864377946,0.16889088233172458,0.015072982046221428,0.042858272884911584,0.040065025525210435
server-docs,26,63,0.36824655297973624,0.33867821300731205,0.029568339972424196,0.07478730559610301,0.06773847523482612
server-docs,27,63,0.19673796489587403,0.19503339577042628,0.0017045691254477524,0.045423160427317845,0.04491345008489314
server-docs,28,63,0.1659086821372122,0.14616728891765918,0.01974139321955301,0.038354814924455166,0.035962112927596275
server-docs,29,63,0.09460419004192643,0.09032988360559102,0.004274306436335404,0.02317886064130497,0.021900623718350304
server-docs,30,63,0.26221689478413845,0.2420238819116974,0.020193012872441046,0.05771909551093279,0.05417452052967876
