block,chunks,positions,method,scale,kl,js,tv,top1_agreement,top10_overlap
0,0+1+2+3+4+5+6+7,504,identity,1.0293006839980887,0.21417769293244732,0.04963068092594933,0.17556325164524827,0.8115079365079365,0.7351190476190477
0,0+1+2+3+4+5+6+7,504,frozen-target-temperature,1.0293006839980887,0.2140398218839605,0.048740758212740924,0.17223426196239816,0.8115079365079365,0.7351190476190477
0,0+1+2+3+4+5+6+7,504,frozen-temperature+token,1.0293006839980887,0.21849866182471803,0.050059713083377075,0.1770910268391222,0.8075396825396826,0.7396825396825399
0,0+1+2+3+4+5+6+7,504,frozen-pairwise-gap,1.0293006839980887,0.21865778516490186,0.04997080980753226,0.17670431573966525,0.8075396825396826,0.7396825396825399
1,8+9+10+11+12+13+14+15,504,identity,1.0293006839980887,0.16710696255356322,0.03966524943801398,0.16318956300083207,0.8432539682539683,0.7529761904761904
1,8+9+10+11+12+13+14+15,504,frozen-target-temperature,1.0293006839980887,0.1670265975511179,0.03889701474423896,0.15993747257484203,0.8432539682539683,0.7529761904761904
1,8+9+10+11+12+13+14+15,504,frozen-temperature+token,1.0293006839980887,0.17472634343334828,0.041002234599347376,0.16761978553987125,0.8333333333333334,0.7533730158730153
1,8+9+10+11+12+13+14+15,504,frozen-pairwise-gap,1.0293006839980887,0.17481605471527176,0.04092499270369301,0.16733688914786696,0.8333333333333334,0.7533730158730153
2,16+17+18+19+20+21+22+23,504,identity,1.0293006839980887,0.1586372024169691,0.03602974722388428,0.1540155737314673,0.8670634920634921,0.7634920634920631
2,16+17+18+19+20+21+22+23,504,frozen-target-temperature,1.0293006839980887,0.1577952117786003,0.03512821983815549,0.15020763224114464,0.8670634920634921,0.7634920634920631
2,16+17+18+19+20+21+22+23,504,frozen-temperature+token,1.0293006839980887,0.17094271061634408,0.03858165962645909,0.16077786381402231,0.8551587301587301,0.7577380952380957
2,16+17+18+19+20+21+22+23,504,frozen-pairwise-gap,1.0293006839980887,0.17039704422288496,0.03846907912500169,0.16033128183248754,0.8551587301587301,0.7577380952380957
3,24+25+26+27+28+29+30+31,504,identity,1.0293006839980887,0.1769231662973993,0.04101893607023278,0.16708332276866536,0.8373015873015873,0.7706349206349202
3,24+25+26+27+28+29+30+31,504,frozen-target-temperature,1.0293006839980887,0.1772016920921362,0.040276708821234436,0.16357384741134323,0.8373015873015873,0.7706349206349202
3,24+25+26+27+28+29+30+31,504,frozen-temperature+token,1.0293006839980887,0.18649580022474244,0.042664688348675865,0.1713517467330097,0.8273809523809523,0.7742063492063486
3,24+25+26+27+28+29+30+31,504,frozen-pairwise-gap,1.0293006839980887,0.18658839084656167,0.04259348308045027,0.17100870365867837,0.8273809523809523,0.7742063492063486
