quant,fold,test_chunks,inner_validation_chunks,train_positions,test_positions,temperature,method,selected_head,selected_knots,selected_rank_bins,selected_strength,selected_enabled,scale,kl,js,tv,top1_agreement,top10_overlap
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,identity,0,0,0,0.0,False,1.0280901469768742,0.24092477308740565,0.05531910996175867,0.22312225874488884,0.7916666666666666,0.7480158730158738
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,target-temperature,0,0,0,0.0,False,1.0280901469768742,0.23858836239703732,0.05388221028229324,0.2184010494356271,0.7916666666666666,0.7480158730158738
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,target-temperature+token,0,0,0,0.0,False,1.0280901469768742,0.23071240497717213,0.05273323087059758,0.21728788399821722,0.7896825396825397,0.7529761904761911
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,direct-gap-forced,16,32,4,0.05,False,1.0280901469768742,0.23068055680465474,0.05273056264358691,0.217344793821757,0.7936507936507936,0.7529761904761911
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,direct-gap-selected,16,32,4,0.05,False,1.0280901469768742,0.23071240497717213,0.05273323087059758,0.21728788399821722,0.7896825396825397,0.7529761904761911
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,pairwise-gap-forced,8,32,1,0.1,True,1.0280901469768742,0.23063140986535366,0.05260116157853942,0.21670380991699117,0.7896825396825397,0.7529761904761911
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,pairwise-gap-selected,8,32,1,0.1,True,1.0280901469768742,0.23063140986535366,0.05260116157853942,0.21670380991699117,0.7896825396825397,0.7529761904761911
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,identity,0,0,0,0.0,False,1.026347383896415,0.20671004135903429,0.048020227728672406,0.2012228512972401,0.7857142857142857,0.7589285714285707
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,target-temperature,0,0,0,0.0,False,1.026347383896415,0.20387659032885136,0.04663361617055287,0.19629483167019557,0.7857142857142857,0.7589285714285707
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,target-temperature+token,0,0,0,0.0,False,1.026347383896415,0.20129327762670435,0.04634864560878981,0.1970810715752397,0.7876984126984127,0.7569444444444441
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,direct-gap-forced,16,32,4,0.25,True,1.026347383896415,0.20148830421664898,0.046449359843603356,0.19766843847790078,0.7857142857142857,0.7577380952380948
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,direct-gap-selected,16,32,4,0.25,True,1.026347383896415,0.20148830421664898,0.046449359843603356,0.19766843847790078,0.7857142857142857,0.7577380952380948
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,pairwise-gap-forced,8,32,1,0.5,True,1.026347383896415,0.20102924751340545,0.045780604965540636,0.19454703078883567,0.7876984126984127,0.7569444444444441
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,pairwise-gap-selected,8,32,1,0.5,True,1.026347383896415,0.20102924751340545,0.045780604965540636,0.19454703078883567,0.7876984126984127,0.7569444444444441
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,identity,0,0,0,0.0,False,1.0296383320160254,0.20688369766827208,0.04776320975414487,0.20661873630406702,0.7400793650793651,0.7742063492063492
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,target-temperature,0,0,0,0.0,False,1.0296383320160254,0.2050285399697637,0.0465288855305731,0.20183719088500973,0.7400793650793651,0.7742063492063492
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,target-temperature+token,0,0,0,0.0,False,1.0296383320160254,0.20714876807471994,0.0473189662566063,0.2054327055933803,0.75,0.7730158730158734
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,direct-gap-forced,8,8,1,0.05,False,1.0296383320160254,0.20717322723151288,0.04732689327655513,0.2055092597318255,0.75,0.7730158730158734
