quant,fold,test_chunks,train_chunks,calibration_chunks,calibration_positions,test_positions,temperature,method,scale,equivalent_quant_temperature,kl,js,tv,acceptance,top1_agreement,top10_overlap
Q2_K_XL,0,0+1+2+3+4+5+6+7,8,1,63,504,0.8,identity,1.009748290415137,0.7922766570578661,0.2732135508516703,0.06051237006389574,0.22266052291744262,0.7773394770825574,0.7916666666666666,0.748015873015873
Q2_K_XL,0,0+1+2+3+4+5+6+7,8,1,63,504,0.8,target-temperature,1.009748290415137,0.7922766570578661,0.27348541305738966,0.060183430866307695,0.22155689061976716,0.7784431093802329,0.7916666666666666,0.748015873015873
Q2_K_XL,0,0+1+2+3+4+5+6+7,8,1,63,504,0.8,target-temperature+entropy-token,1.009748290415137,0.7922766570578661,0.2733698280529256,0.06054084523094481,0.22338330836912842,0.7766166916308715,0.7777777777777778,0.7478174603174604
Q2_K_XL,0,0+1+2+3+4+5+6+7,8,1,63,504,0.8,target-temperature+token,1.009748290415137,0.7922766570578661,0.2775045014859787,0.06160876918322773,0.22547308941680708,0.7745269105831929,0.7757936507936508,0.7468253968253967
Q2_K_XL,0,0+1+2+3+4+5+6+7,8,1,63,504,1.0,identity,1.0380901307441903,0.9633074916944985,0.24092717048240178,0.055319260362329446,0.22312225734184188,0.7768777426581581,0.7916666666666666,0.748015873015873
Q2_K_XL,0,0+1+2+3+4+5+6+7,8,1,63,504,1.0,target-temperature,1.0380901307441903,0.9633074916944985,0.2385773863090204,0.05355908414647217,0.21729017433747122,0.7827098256625288,0.7916666666666666,0.748015873015873
Q2_K_XL,0,0+1+2+3+4+5+6+7,8,1,63,504,1.0,target-temperature+entropy-token,1.0380901307441903,0.9633074916944985,0.23674502123137087,0.053387121043727795,0.21742638096983438,0.7825736190301656,0.7777777777777778,0.7486111111111112
Q2_K_XL,0,0+1+2+3+4+5+6+7,8,1,63,504,1.0,target-temperature+token,1.0380901307441903,0.9633074916944985,0.23970205909063225,0.05432783153900894,0.22016274003775804,0.779837259962242,0.7738095238095238,0.7482142857142857
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+9,2,126,504,0.8,identity,0.9798992464592862,0.8164104655562048,0.2732135508516703,0.06051237006389574,0.22266052291744262,0.7773394770825574,0.7916666666666666,0.748015873015873
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+9,2,126,504,0.8,target-temperature,0.9798992464592862,0.8164104655562048,0.27354674185436945,0.06139201831738021,0.2254759561459874,0.7745240438540126,0.7916666666666666,0.748015873015873
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+9,2,126,504,0.8,target-temperature+entropy-token,0.9798992464592862,0.8164104655562048,0.2754576362720919,0.06211032600043113,0.22865040668480538,0.7713495933151946,0.7817460317460317,0.7488095238095239
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+9,2,126,504,0.8,target-temperature+token,0.9798992464592862,0.8164104655562048,0.2773602216731946,0.06258437089249469,0.2293504962916532,0.7706495037083468,0.7797619047619048,0.7462301587301587
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+9,2,126,504,1.0,identity,1.019313934574358,0.981052025368001,0.24092717048240178,0.055319260362329446,0.22312225734184188,0.7768777426581581,0.7916666666666666,0.748015873015873
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+9,2,126,504,1.0,target-temperature,1.019313934574358,0.981052025368001,0.2389361666086881,0.054244872391004645,0.219609679212948,0.780390320787052,0.7916666666666666,0.748015873015873
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+9,2,126,504,1.0,target-temperature+entropy-token,1.019313934574358,0.981052025368001,0.23773342264261343,0.054277699577986435,0.22122454220337362,0.7787754577966264,0.7837301587301587,0.7490079365079365
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+9,2,126,504,1.0,target-temperature+token,1.019313934574358,0.981052025368001,0.23912893203582608,0.054715681198089554,0.22215078835674038,0.7778492116432596,0.7817460317460317,0.7476190476190477
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+9+10+11,4,252,504,0.8,identity,1.0047266663578651,0.7962364559308459,0.2732135508516703,0.06051237006389574,0.22266052291744262,0.7773394770825574,0.7916666666666666,0.748015873015873
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+9+10+11,4,252,504,0.8,target-temperature,1.0047266663578651,0.7962364559308459,0.27331114941850343,0.060345291777675614,0.22210853080093604,0.7778914691990639,0.7916666666666666,0.748015873015873
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+9+10+11,4,252,504,0.8,target-temperature+entropy-token,1.0047266663578651,0.7962364559308459,0.2722516860638366,0.06065933827861023,0.22511314096529877,0.7748868590347012,0.7936507936507936,0.7527777777777778
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+9+10+11,4,252,504,0.8,target-temperature+token,1.0047266663578651,0.7962364559308459,0.2722159507570723,0.06075087896224765,0.2250607713543227,0.7749392286456773,0.7976190476190477,0.7472222222222222
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+9+10+11,4,252,504,1.0,identity,1.0365886483538518,0.9647028274793901,0.24092717048240178,0.055319260362329446,0.22312225734184188,0.7768777426581581,0.7916666666666666,0.748015873015873
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+9+10+11,4,252,504,1.0,target-temperature,1.0365886483538518,0.9647028274793901,0.2385515937762287,0.05360176795982134,0.2174406613770453,0.7825593386229547,0.7916666666666666,0.748015873015873
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+9+10+11,4,252,504,1.0,target-temperature+entropy-token,1.0365886483538518,0.9647028274793901,0.2356141542293208,0.05347938892708275,0.21908623091728677,0.7809137690827133,0.7916666666666666,0.7515873015873017
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+9+10+11,4,252,504,1.0,target-temperature+token,1.0365886483538518,0.9647028274793901,0.23556037111992492,0.05358657388969804,0.21948588626678212,0.7805141137332179,0.7936507936507936,0.7490079365079365
