fold,test_chunks,inner_validation_chunks,train_positions,test_positions,temperature,head,method,selected_components,selected_alpha,forced_components,forced_alpha,scale,kl,js,tv,top1_agreement,top10_overlap
0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,128,identity,0,1.0,4,100000.0,1.028136669615055,0.24092477422819028,0.05531911007802864,0.2231222599647373,0.7916666666666666,0.748015873015873
0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,128,target-temperature,0,1.0,4,100000.0,1.028136669615055,0.23858738076666094,0.05388048867561866,0.218395317757795,0.7916666666666666,0.748015873015873
0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,128,target-temperature+token,0,1.0,4,100000.0,1.028136669615055,0.230711446138305,0.05273175961647163,0.21728251694012657,0.7896825396825397,0.7529761904761905
0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,128,hidden-adapter,0,1.0,4,100000.0,1.028136669615055,0.230711446138305,0.05273175961647163,0.21728251694012657,0.7896825396825397,0.7529761904761905
0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,128,hidden-adapter-forced,0,1.0,4,100000.0,1.028136669615055,0.24130695836110974,0.055110153739092206,0.2232423109672176,0.7857142857142857,0.7458333333333332
0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,128,low-rank-oracle-16,0,1.0,4,100000.0,1.028136669615055,0.09923477868455906,0.022481328427756436,0.09516298265580544,0.9583333333333334,0.8188492063492064
1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,128,identity,0,1.0,4,100000.0,1.0263847001847848,0.20671004385424505,0.0480202277737254,0.20122285288533392,0.7857142857142857,0.7591269841269841
1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,128,target-temperature,0,1.0,4,100000.0,1.0263847001847848,0.20387465844318808,0.04663213432190307,0.19628903942304995,0.7857142857142857,0.7591269841269841
1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,128,target-temperature+token,0,1.0,4,100000.0,1.0263847001847848,0.20129150270899251,0.04634736167736367,0.19707595000609704,0.7876984126984127,0.7571428571428572
1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,128,hidden-adapter,0,1.0,4,100000.0,1.0263847001847848,0.20129150270899251,0.04634736167736367,0.19707595000609704,0.7876984126984127,0.7571428571428572
