fold,test_chunks,calibration_positions,test_positions,method,candidate_temperature,candidate_top_p,training_js,sampler_js,sampler_tv,sampler_support_jaccard
0,0+1+2+3+4+5+6+7,256,504,same-settings,0.8,0.95,,0.06472105696732233,0.21611543277847683,0.6167802962013385
0,0+1+2+3+4+5+6+7,256,504,q2-frozen-temperature,0.7625,0.95,,0.06305547057150213,0.2115026270501345,0.6485440726157068
0,0+1+2+3+4+5+6+7,256,504,hybrid-tuned-temperature,0.7549999999999997,0.95,0.06503360788292412,0.06297234565089826,0.21104767956283121,0.6521837705628616
1,8+9+10+11+12+13+14+15,256,504,same-settings,0.8,0.95,,0.060651018612256774,0.19768490728789143,0.6399596819586647
1,8+9+10+11+12+13+14+15,256,504,q2-frozen-temperature,0.7625,0.95,,0.05896861697427027,0.1928870238803534,0.6674652850615559
1,8+9+10+11+12+13+14+15,256,504,hybrid-tuned-temperature,0.7674999999999996,0.95,0.06770694759916296,0.059094334084499954,0.19337001737458484,0.6646294760727438
2,16+17+18+19+20+21+22+23,256,504,same-settings,0.8,0.95,,0.062184074675257314,0.20883284709120672,0.6409316494158149
2,16+17+18+19+20+21+22+23,256,504,q2-frozen-temperature,0.7625,0.95,,0.06055269469658332,0.20431020270500863,0.6731348405740081
2,16+17+18+19+20+21+22+23,256,504,hybrid-tuned-temperature,0.7499999999999998,0.95,0.06401867115437199,0.06048078686373109,0.20386469867154364,0.6759864129103923
3,24+25+26+27+28+29+30+31,256,504,same-settings,0.8,0.95,,0.06632938645692313,0.22459522228399736,0.6228840419177085
3,24+25+26+27+28+29+30+31,256,504,q2-frozen-temperature,0.7625,0.95,,0.06540151691504954,0.22114342548847493,0.6478688067876347
3,24+25+26+27+28+29+30+31,256,504,hybrid-tuned-temperature,0.7499999999999998,0.95,0.05814048364663904,0.06550100367686744,0.22076734388247132,0.6505510469464254
