chunk,outer_fold,positions,method,candidate_temperature,candidate_top_p,sampler_js,sampler_tv,sampler_support_jaccard
0,0,63,same-settings,0.8,0.95,0.08295429401683606,0.2517656006865085,0.5810820822245071
0,0,63,q2-frozen-temperature,0.7625,0.95,0.08056277384804118,0.24534118682559994,0.6246271293469537
0,0,63,hybrid-tuned-temperature,0.7549999999999997,0.95,0.08013240568014601,0.24407050155457996,0.632469573344332
1,0,63,same-settings,0.8,0.95,0.044985976114514326,0.1547519096306392,0.6899039087867063
1,0,63,q2-frozen-temperature,0.7625,0.95,0.04241365431955764,0.14902941640170794,0.7430904607637968
1,0,63,hybrid-tuned-temperature,0.7549999999999997,0.95,0.04222663181893054,0.14884249357477067,0.7487342448642443
2,0,63,same-settings,0.8,0.95,0.07370660816215807,0.24069618599282372,0.5314591719139676
2,0,63,q2-frozen-temperature,0.7625,0.95,0.07094090474059894,0.23391802863232672,0.5715011245818828
2,0,63,hybrid-tuned-temperature,0.7549999999999997,0.95,0.07049527771711822,0.2328196686529924,0.5787919172618471
3,0,63,same-settings,0.8,0.95,0.05474045013801919,0.19395066643991168,0.7268220912199463
3,0,63,q2-frozen-temperature,0.7625,0.95,0.05457005535791968,0.19270777838334205,0.7420664244199404
3,0,63,hybrid-tuned-temperature,0.7549999999999997,0.95,0.0545405336352627,0.19272377714514732,0.744015234664746
4,0,63,same-settings,0.8,0.95,0.06558603642597086,0.22731274286551134,0.5952190916748689
4,0,63,q2-frozen-temperature,0.7625,0.95,0.06494314414227292,0.2254274556679385,0.6010490029863558
4,0,63,hybrid-tuned-temperature,0.7549999999999997,0.95,0.06466754068369193,0.225087700027322,0.6126496428220096
5,0,63,same-settings,0.8,0.95,0.050785607296145625,0.19335972451205766,0.5911687378959426
5,0,63,q2-frozen-temperature,0.7625,0.95,0.04776680840933252,0.18437225894913786,0.6374491917519984
5,0,63,hybrid-tuned-temperature,0.7549999999999997,0.95,0.04820626475922172,0.18402188543289427,0.6329778055366484
6,0,63,same-settings,0.8,0.95,0.07661518530314049,0.25399906129117994,0.5650876749153476
6,0,63,q2-frozen-temperature,0.7625,0.95,0.07526953975182205,0.251519119573964,0.5979362576851259
6,0,63,hybrid-tuned-temperature,0.7549999999999997,0.95,0.07527970554794938,0.2511272446976768,0.6029643936852828
7,0,63,same-settings,0.8,0.95,0.0683942982817941,0.21308757080918267,0.6534996109794199
7,0,63,q2-frozen-temperature,0.7625,0.95,0.06797688400247208,0.20970577196705908,0.6706329893895997
7,0,63,hybrid-tuned-temperature,0.7549999999999997,0.95,0.06823040536486559,0.20968816541726626,0.6648673523237819
8,1,63,same-settings,0.8,0.95,0.05469783305353115,0.20101570030526508,0.6485852857503999
8,1,63,q2-frozen-temperature,0.7625,0.95,0.05288010170786745,0.19645009101146743,0.6787233841230778
8,1,63,hybrid-tuned-temperature,0.7674999999999996,0.95,0.05288636691809174,0.1967531375232197,0.6780782842602453
9,1,63,same-settings,0.8,0.95,0.07766729328663104,0.25181754193608724,0.5968637554126212
9,1,63,q2-frozen-temperature,0.7625,0.95,0.0784726269166207,0.25069970213290715,0.620265670145588
