layer,fold,test_chunks,raw_mse,corrected_mse,recovered,bias_rms
0,0,0+1+2+3+4+5+6+7,6.099135442943458e-08,6.049695771452029e-08,0.008106013049542948,2.326888461875127e-05
0,1,8+9+10+11+12+13+14+15,5.977069032107898e-08,5.9433214850237765e-08,0.005646169870689999,2.3778457749877575e-05
0,2,16+17+18+19+20+21+22+23,6.296654374046808e-08,6.259337624547453e-08,0.005926440818026402,2.3747609736161902e-05
0,3,24+25+26+27+28+29+30+31,5.980799411242163e-08,5.956807967320423e-08,0.004011410895447098,2.5084468942123952e-05
1,0,0+1+2+3+4+5+6+7,2.83925579577603e-05,2.573662803598422e-05,0.09354317162008852,0.0015500367507480135
1,1,8+9+10+11+12+13+14+15,2.8036608015981235e-05,2.5836297168763607e-05,0.0784799233189486,0.0015973781862134839
1,2,16+17+18+19+20+21+22+23,2.6679099854178738e-05,2.415975810475167e-05,0.09443128753208152,0.0015644144764213276
1,3,24+25+26+27+28+29+30+31,3.1300928833024934e-05,2.9025233211811276e-05,0.07270377289291874,0.0015911983557569563
2,0,0+1+2+3+4+5+6+7,9.461589865311637e-05,9.050255138907579e-05,0.043474165786038355,0.0019360795321737602
2,1,8+9+10+11+12+13+14+15,9.07692621856107e-05,8.725209256094129e-05,0.03874846550451494,0.0019853397851520476
2,2,16+17+18+19+20+21+22+23,8.984826495887501e-05,8.633331547922566e-05,0.039120949984490005,0.001987940014080701
2,3,24+25+26+27+28+29+30+31,0.00010428393760343739,0.00010092798059646135,0.03218095791259634,0.002002422460920011
3,0,0+1+2+3+4+5+6+7,0.0001755378117161166,0.0001583672196414532,0.09781705666031693,0.004095760165676751
3,1,8+9+10+11+12+13+14+15,0.0001750813200169304,0.00015896500895391682,0.0920504315449251,0.004135990485580847
3,2,16+17+18+19+20+21+22+23,0.00016925253072435354,0.00015260498049208336,0.09835923965818005,0.004117607129730318
3,3,24+25+26+27+28+29+30+31,0.00020133067214730537,0.00018569382816252444,0.07766747022699105,0.00415962167241195
4,0,0+1+2+3+4+5+6+7,0.0003269680287980132,0.00029910039679364894,0.08523044930970813,0.005495724181054333
4,1,8+9+10+11+12+13+14+15,0.0003479192593565423,0.00031816578591605145,0.08551832829121986,0.005434488990228748
4,2,16+17+18+19+20+21+22+23,0.0003108196354722027,0.00028342207701272473,0.0881461636677332,0.005510395790608122
4,3,24+25+26+27+28+29+30+31,0.00038496453908076506,0.00035556405761487576,0.076371921258236,0.005453201915609163
5,0,0+1+2+3+4+5+6+7,0.00064810685823184,0.0006320344952456152,0.024798939838521883,0.00434593601235149
5,1,8+9+10+11+12+13+14+15,0.0006913039241227245,0.000674860385632083,0.023786265225542613,0.004321039672029812
5,2,16+17+18+19+20+21+22+23,0.0006123548422190952,0.000598106425858535,0.023268234981086766,0.004410911376403052
5,3,24+25+26+27+28+29+30+31,0.0007626966719246887,0.0007455484280213346,0.02248370097129182,0.004309586858707997
6,0,0+1+2+3+4+5+6+7,0.0010940580507668364,0.0010663215365710793,0.025351958405055663,0.005663418130808575
6,1,8+9+10+11+12+13+14+15,0.001156432510966249,0.0011288095772981855,0.02388633440007948,0.005657686266821816
6,2,16+17+18+19+20+21+22+23,0.0010464204650062015,0.0010233251619327407,0.022070767770509758,0.005791273777064486
6,3,24+25+26+27+28+29+30+31,0.0012726469565317211,0.0012412686721652401,0.024655922214275816,0.0055599507591006635
7,0,0+1+2+3+4+5+6+7,0.0015688185379549953,0.001523573692645642,0.028840075645926055,0.007449677395926657
7,1,8+9+10+11+12+13+14+15,0.0016354297352993816,0.0015922103486140622,0.026426929725236747,0.007477004180772526
7,2,16+17+18+19+20+21+22+23,0.0015887250592754238,0.0015458513431828669,0.026986240219632807,0.007493485410609019
7,3,24+25+26+27+28+29+30+31,0.001805257362858684,0.001750706738936112,0.030217643780269254,0.00723826797366505
8,0,0+1+2+3+4+5+6+7,0.002150015978635094,0.002061026604656261,0.041390098893742455,0.009937894674986888
8,1,8+9+10+11+12+13+14+15,0.002191922425301666,0.002102245127868196,0.04091262373080018,0.009920494106585765
8,2,16+17+18+19+20+21+22+23,0.002116318431480879,0.002045827703446202,0.03330818603954211,0.010241363205561873
8,3,24+25+26+27+28+29+30+31,0.0023700563835507035,0.0022698005103164117,0.042301049852701555,0.009753774958243663
9,0,0+1+2+3+4+5+6+7,0.002547648437835699,0.002464444220711729,0.032659222476808636,0.009691538900356495
9,1,8+9+10+11+12+13+14+15,0.0025225699383445883,0.0024408293524017877,0.032403694621225054,0.009715289117546915
9,2,16+17+18+19+20+21+22+23,0.002536719237278628,0.002468010545895164,0.027085650778276182,0.009942387434377154
9,3,24+25+26+27+28+29+30+31,0.002809809479672619,0.002718692230500513,0.032428265984326465,0.009558379734775435
