layer,reference_rms,candidate_rms,error_rms,relative_error,mean_cosine,best_candidate_scale,scaled_relative_error,mean_delta_error_fraction,row_error_kl_correlation,heldout_bias_recovery
0,0.013809803583695072,0.013811336778528815,0.00024674712896171795,0.017867533558047616,0.9998421849995008,0.99972940734201,0.017865484006942586,0.009005424921678514,-0.020379228481351506,0.005922508658426612
1,0.04721302029586678,0.04679536824926436,0.005348111691544626,0.11327620342926509,0.9939210079985842,1.0024341185531995,0.11325050857240444,0.08651624263387128,0.05933935056245161,0.08478953884100934
2,0.05977911675133582,0.05819916916879876,0.009740602694405506,0.162943235426573,0.9873865414580415,1.0135099343152902,0.1624115143130485,0.040861924230053796,0.04287078971176333,0.03838113479690991
3,0.06063739608256856,0.05843381932710685,0.013427605283563281,0.22144099435403225,0.9757033119886935,1.012019579534675,0.22113785986483855,0.0940344578543018,-0.008022163213244374,0.09147354952260328
4,0.08652992822717578,0.08437592708518947,0.018511290221831667,0.2139293375262268,0.9770789989590631,1.0017883466290565,0.21392223006168457,0.08693629961953575,-0.026868951158882128,0.0838167156317243
5,0.10306517704501066,0.10183672623483048,0.02605025094168167,0.252755117572883,0.9684584489830963,0.9794178362732211,0.2519356313344536,0.027308498383057152,0.0424034417727509,0.02358428525411077
6,0.12118364914883172,0.1183226449842865,0.033799252888455276,0.2789093506083871,0.9612988728347878,0.9836731113424928,0.27845340125217954,0.027617069352185407,0.0754709645186426,0.02399124569748018
7,0.13869201118191432,0.138025128049758,0.040614746999669,0.29284128662895353,0.9566681155165666,0.9615499290066488,0.2903304918397991,0.03268917027593544,-0.0056944065543842745,0.028117722342766216
8,0.14168426385200203,0.13888998577505643,0.04697955198532747,0.33157917970622697,0.9433879605649984,0.9631144571003893,0.3296017974134078,0.04431495569980817,0.0002186730216241289,0.039477989629196575
9,0.1467861352007622,0.14365236370959264,0.051031233311403364,0.3476570402348081,0.9379701331566425,0.958954769476452,0.34532864546297215,0.035693195973723515,0.008419415037356527,0.031144208465159084
10,0.15684693842990874,0.15249913927685488,0.056529564508705825,0.3604122915919559,0.9334181914721235,0.9602120303326833,0.3583301370208106,0.03279141466427786,0.0014406278206435458,0.028178559192530844
11,0.17232182754519607,0.16711520616062708,0.06266505743871804,0.36365130483706387,0.9326275711633197,0.9613357816854913,0.36171303775403163,0.03795556430643858,-0.013211432139236033,0.03325798934086524
12,0.17458758883737713,0.1693475844119008,0.06737898604360835,0.3859322789913192,0.9234612531696694,0.952269191741029,0.3831451389162157,0.04332823779637577,-0.007879746109164303,0.038632385229902644
13,0.17753253042814318,0.17266722850143332,0.07019021807386217,0.39536538968148077,0.9199022183471264,0.9459508586578276,0.39185508213203757,0.041545203536615484,0.005046483849373227,0.03714324937469579
14,0.18721571842337859,0.18164743954083015,0.07457424386227487,0.39833324087472777,0.9179299595789554,0.9468510274950143,0.3949811300551499,0.03627039159100503,0.007384606713497903,0.032160073924837385
15,0.2012172198300253,0.19447249560391566,0.08084171358202512,0.40176339604689265,0.9153912369079985,0.9488814054230235,0.398714133979658,0.03606323261032186,0.01307327638030275,0.03152591114798989
16,0.21074035787136405,0.20423015829757998,0.08734241458334663,0.4144550928240354,0.9104504552123991,0.9409354888353496,0.41048339698288056,0.036768914184830324,0.01903128676064114,0.032278457278694994
17,0.22008172209528293,0.21429602761932923,0.09319728915432772,0.42346673893245246,0.9077327259400431,0.9327941736444602,0.4183799804595727,0.03772862931431575,0.0536499344182244,0.033013638580510846
18,0.2354078695388782,0.229194707936152,0.09659050617939326,0.4103112881000823,0.9128135141036778,0.9386726753940502,0.40594362180972,0.03493005912220698,0.049262890074968875,0.029879002869635074
19,0.2788221045147445,0.27041700239717437,0.10996311544750656,0.39438449702143885,0.9165492377756401,0.9488858826093678,0.3912564649285565,0.04146558050983807,0.0383623720954913,0.03559360435185277
