fold,component,learned_singular_value,sign_null_singular_mean,sign_null_singular_sd,learned_to_null_ratio
0,1,81.5884,45.015022,2.5635498,1.8124706
0,2,63.118187,38.896095,1.1896462,1.6227384
0,3,56.44142,36.50815,0.69846916,1.5459952
0,4,49.454628,34.354492,0.68501896,1.439539
0,5,47.211567,32.353973,0.871514,1.45922
0,6,42.284874,31.34643,0.3490881,1.3489535
0,7,40.110798,30.241734,0.19805425,1.3263392
0,8,36.677567,29.583569,0.35889837,1.2397952
0,9,35.901066,28.63791,0.24019258,1.2536203
0,10,33.72549,28.09082,0.3058908,1.2005876
0,11,31.850298,27.538712,0.098835714,1.1565646
0,12,31.275032,27.232635,0.21975774,1.1484394
0,13,30.85015,26.468006,0.19664373,1.1655638
0,14,28.44314,26.153673,0.1453564,1.0875391
0,15,28.331179,25.65303,0.12660395,1.1043988
0,16,28.05788,25.468271,0.118995406,1.1016798
1,1,81.765594,52.460518,2.9008172,1.558612
1,2,65.80215,46.508324,1.3367937,1.4148467
1,3,54.478188,37.770042,0.8890139,1.442365
1,4,49.126266,34.414505,0.79056394,1.4274873
1,5,46.822205,32.793648,1.2513129,1.4277828
1,6,41.451363,31.519123,0.5252515,1.3151178
1,7,40.491432,30.351664,0.6274139,1.3340762
1,8,36.48162,29.603237,0.82373875,1.2323524
1,9,34.10639,28.736885,0.5893066,1.1868507
1,10,32.54099,28.146103,0.6097487,1.1561455
1,11,32.175278,27.704266,0.3236115,1.1613835
1,12,31.892563,27.2656,0.27511027,1.1696997
1,13,30.703989,26.79795,0.19523813,1.1457589
1,14,29.751268,26.501793,0.14498505,1.1226134
1,15,29.187847,26.074175,0.11364162,1.119416
1,16,28.899616,25.671837,0.15423028,1.1257323
2,1,76.243706,49.510788,2.684599,1.5399413
2,2,63.47751,46.18186,2.6251204,1.3745117
2,3,55.89772,36.13934,0.97531587,1.5467278
2,4,52.30345,33.97495,0.9448616,1.539471
2,5,48.55302,32.615944,1.0622978,1.4886284
2,6,47.683895,31.275013,0.58648044,1.5246643
2,7,39.68745,30.332464,0.22533154,1.3084149
2,8,39.00175,29.754936,0.3964829,1.3107657
2,9,36.559452,29.05647,0.22656618,1.2582207
2,10,36.29619,28.514027,0.17063543,1.272924
2,11,35.311554,28.136278,0.13798964,1.2550187
2,12,33.77961,27.630222,0.3099035,1.2225602
2,13,31.76912,27.404955,0.26684147,1.1592473
2,14,31.466906,26.952309,0.24265173,1.1675031
2,15,29.79846,26.704025,0.29125145,1.1158789
2,16,29.561659,26.323889,0.16179742,1.1229974
3,1,83.17896,47.842094,4.9795856,1.7386146
3,2,63.511833,39.227722,1.1765351,1.6190548
3,3,57.04916,36.869236,0.90502906,1.5473378
3,4,50.303898,34.76946,0.4714497,1.446784
3,5,47.592102,32.632397,0.2579727,1.4584311
3,6,45.24882,31.586515,0.3255256,1.432536
3,7,42.589695,30.870049,0.42545685,1.3796446
3,8,37.555515,29.897827,0.29070756,1.2561285
3,9,36.81756,29.229778,0.4841172,1.2595907
3,10,33.997063,28.648388,0.10936872,1.1867007
3,11,33.218678,28.281792,0.13678536,1.1745605
3,12,32.05845,27.808277,0.19496155,1.1528383
3,13,31.281387,27.464369,0.17693475,1.1389807
3,14,30.161177,26.998035,0.31082678,1.1171619
3,15,29.536366,26.550045,0.36782435,1.112479
3,16,28.969109,26.107134,0.2650188,1.1096243
