block,chunks,positions,method,sampler_js,sampler_tv,sampler_support_jaccard,reference_mass_in_candidate_support,mean_candidate_top_p
0,0,63,same-settings,0.10732788795102684,0.30186175152895944,0.5491169452321413,0.9653890814099994,0.95
0,0,63,frozen-mass-global,0.10611575321545677,0.2996989664813829,0.5854582988606668,0.9599051361992246,0.9388144016265869
0,0,63,frozen-temperature,0.10547482488410813,0.29794336500621976,0.5934129822572688,0.9537898037168715,0.95
0,0,63,frozen-top-p,0.10603330220790609,0.2990946028204191,0.5980758683660462,0.9532042609320747,0.9312499999999999
0,0,63,frozen-joint,0.10509004033658476,0.29813989050804623,0.5861880771336745,0.9584679376511347,0.9649999999999999
1,1,63,same-settings,0.06033894679109965,0.17693397869902944,0.746798137893049,0.9676980499237303,0.95
1,1,63,frozen-mass-global,0.060430846199215876,0.17683443716830677,0.746390491802064,0.9653930872205704,0.9388144016265869
1,1,63,frozen-temperature,0.06031054361457271,0.1760913266962956,0.750360204146229,0.9655661847856309,0.95
1,1,63,frozen-top-p,0.0611190543184796,0.17751431270014673,0.7515492321482835,0.9600992136531405,0.9312499999999999
1,1,63,frozen-joint,0.06089649715235398,0.17615020269202808,0.7455198998338939,0.9660505699732947,0.9649999999999999
2,2,63,same-settings,0.04848565457994857,0.12330503152712943,0.8089232879099849,0.9613013735839299,0.95
2,2,63,frozen-mass-global,0.04818396305384499,0.12230342635441394,0.8232061365205112,0.9594019958897243,0.9388144016265869
2,2,63,frozen-temperature,0.04823042810451062,0.12164380262413668,0.8242061273079409,0.9588756745769864,0.95
2,2,63,frozen-top-p,0.047908775127744156,0.12127360119114793,0.8309397969041683,0.9573125579054393,0.9312499999999999
2,2,63,frozen-joint,0.04783052110689737,0.12154327823765694,0.8165804342561249,0.9634867892378852,0.9649999999999999
3,3,63,same-settings,0.07036379018857603,0.17538990373057978,0.6640931796320267,0.9727388790675572,0.95
3,3,63,frozen-mass-global,0.06922191306800833,0.17227965424812974,0.7054333939985569,0.9570291858343851,0.9388144016265869
3,3,63,frozen-temperature,0.06853804375356366,0.17013362505369717,0.708539341662591,0.9528428764333801,0.95
3,3,63,frozen-top-p,0.06874217971095017,0.170954781244435,0.7212532746846472,0.9520873610698988,0.9312499999999999
3,3,63,frozen-joint,0.06911577553200048,0.17066934503733167,0.6740896261038529,0.9543628174634207,0.9649999999999999
4,4,63,same-settings,0.06503514305777139,0.17121016328770017,0.6780380773934026,0.9607940741947719,0.95
4,4,63,frozen-mass-global,0.06497239009920686,0.17063557868084264,0.6780637900465306,0.9564578287185185,0.9388144016265869
4,4,63,frozen-temperature,0.06507652388545611,0.1700761973384827,0.6783231666229551,0.9556638163233561,0.95
4,4,63,frozen-top-p,0.06555309297797816,0.17073992666389262,0.6776154316812155,0.952136168404231,0.9312499999999999
4,4,63,frozen-joint,0.0650409804398401,0.17000321783716715,0.6807477310057802,0.9573834812830365,0.9649999999999999
5,5,63,same-settings,0.04567845829112071,0.13351789205556824,0.7504244614139264,0.9688154875286041,0.95
5,5,63,frozen-mass-global,0.04590809879277552,0.1331593051316246,0.7548322085384988,0.9622894903970143,0.9388144016265869
5,5,63,frozen-temperature,0.0462289928968641,0.13373066674149225,0.7529706984635121,0.9600694529593937,0.95
5,5,63,frozen-top-p,0.04642950870939309,0.13346372621636543,0.7485705543860163,0.9574411587109641,0.9312499999999999
5,5,63,frozen-joint,0.046522781918091435,0.13498879407369901,0.7440004148851463,0.9625595183599562,0.9649999999999999
6,6,63,same-settings,0.04530247550694242,0.14685020891446915,0.7147358229410422,0.9736143208685375,0.95
6,6,63,frozen-mass-global,0.04479234211797279,0.1450894083236418,0.7395160881823419,0.9675564075273181,0.9388144016265869
6,6,63,frozen-temperature,0.04455141388692908,0.14448868344345736,0.7390864883168146,0.9656311879082332,0.95
6,6,63,frozen-top-p,0.045079657190760215,0.1449625122819155,0.7378158747629812,0.9638842429433551,0.9312499999999999
6,6,63,frozen-joint,0.04436354238229493,0.1456438268993109,0.7293192452016432,0.96940254975879,0.9649999999999999
7,7,63,same-settings,0.03461826845840921,0.11673004369414042,0.7724920322197963,0.9750921130180359,0.95
7,7,63,frozen-mass-global,0.03486497200552433,0.11655595172787943,0.7763258427476156,0.9687555072799562,0.9388144016265869
7,7,63,frozen-temperature,0.03447257957443418,0.11526133854769999,0.7760061675744719,0.9676250787008376,0.95
7,7,63,frozen-top-p,0.03469114276092677,0.11585436201107407,0.7826728062778836,0.9670904912645855,0.9312499999999999
7,7,63,frozen-joint,0.0339927896986612,0.114134190559742,0.779309584297708,0.9694789733205523,0.9649999999999999
8,8,63,same-settings,0.04943624116288173,0.1497468226367519,0.7266209347358988,0.97637049640928,0.95
8,8,63,frozen-mass-global,0.05001757521226648,0.14873228470484415,0.7437183292686144,0.9669422422136579,0.9388144016265869
8,8,63,frozen-temperature,0.049849226623625745,0.14767560226813195,0.7390194174574859,0.9658959157883175,0.95
8,8,63,frozen-top-p,0.04996436737876918,0.14829201538056608,0.7467533545935976,0.965089119616009,0.9312499999999999
8,8,63,frozen-joint,0.0487668844871223,0.1466798023690307,0.7390731230181429,0.973518705557263,0.9649999999999999
9,9,63,same-settings,0.04238671448085427,0.14012872894841527,0.7781687986042566,0.9709101328774105,0.95
9,9,63,frozen-mass-global,0.04202403985647603,0.13928337761807064,0.7914234130907716,0.968297280962505,0.9388144016265869
9,9,63,frozen-temperature,0.04206376305840436,0.1383211796600667,0.791269788799695,0.9646304334912982,0.95
9,9,63,frozen-top-p,0.04237313023195528,0.13986796359457668,0.7886421963776648,0.962634129183633,0.9312499999999999
9,9,63,frozen-joint,0.0423527146820792,0.13917634816515068,0.7815635087908113,0.9666755246737647,0.9649999999999999
10,10,63,same-settings,0.04934124463415217,0.1678721493494416,0.702499677812606,0.9655353294478523,0.95
10,10,63,frozen-mass-global,0.047965098578955916,0.16557181919259684,0.7446006471589516,0.9608703671939789,0.9388144016265869
10,10,63,frozen-temperature,0.047896121052049455,0.16502060214914974,0.7442095406811072,0.9596757926638164,0.95
10,10,63,frozen-top-p,0.048764151642985996,0.16596398617894875,0.7484334782885674,0.9536012231357514,0.9312499999999999
10,10,63,frozen-joint,0.048171503092384056,0.16546540278645736,0.7246303194932335,0.9626118247471158,0.9649999999999999
11,11,63,same-settings,0.04997498805125129,0.17159507671991983,0.6742480011201136,0.9679078062375387,0.95
11,11,63,frozen-mass-global,0.050091824781760344,0.17109315191942548,0.690178897499464,0.9609150053962828,0.9388144016265869
11,11,63,frozen-temperature,0.04959422968409305,0.17000113599120625,0.6912431205566308,0.9589211174419948,0.95
11,11,63,frozen-top-p,0.0501334219202002,0.1701885023050838,0.6941280335898771,0.9569034216895936,0.9312499999999999
11,11,63,frozen-joint,0.049082470884997516,0.1693388063844944,0.6890584355838606,0.9623390682159908,0.9649999999999999
12,12,63,same-settings,0.06805737704659502,0.21643808528426148,0.6521389637654613,0.9401835463349781,0.95
12,12,63,frozen-mass-global,0.06879027972426562,0.21651485855025904,0.6532099825414887,0.9301485802446093,0.9388144016265869
12,12,63,frozen-temperature,0.06938696225794654,0.21751122631960446,0.6538617789269952,0.9279102034985073,0.95
12,12,63,frozen-top-p,0.06979978393157205,0.21765668950383626,0.641766229955712,0.9236529701285892,0.9312499999999999
12,12,63,frozen-joint,0.06978969210537062,0.2194699276948259,0.654216763665884,0.9313682767133864,0.9649999999999999
13,13,63,same-settings,0.058737207396281146,0.17392152713404763,0.6825274076115503,0.9646463403626094,0.95
13,13,63,frozen-mass-global,0.05850986244955233,0.1727516304051119,0.7036156153324074,0.9595190447474283,0.9388144016265869
13,13,63,frozen-temperature,0.057580796172029325,0.17106229279722487,0.7074438641898959,0.9592248210831295,0.95
13,13,63,frozen-top-p,0.05782480356061742,0.17118649054614324,0.7251494594442168,0.9583643532934643,0.9312499999999999
13,13,63,frozen-joint,0.05665451065925438,0.16999718132946226,0.6979559681940635,0.9621251594452631,0.9649999999999999
14,14,63,same-settings,0.03282807873643284,0.11326853945733063,0.7355346588568148,0.965546138702877,0.95
14,14,63,frozen-mass-global,0.03303750105283504,0.11285324666708235,0.7475414515152915,0.9576443471605816,0.9388144016265869
14,14,63,frozen-temperature,0.03267284385704746,0.11093842143577243,0.7478434216701293,0.9573415196131146,0.95
14,14,63,frozen-top-p,0.03283534905437144,0.11185765225026342,0.7491352944996446,0.9547756210206046,0.9312499999999999
14,14,63,frozen-joint,0.03205712888406457,0.1111160817718695,0.750958410843168,0.9613268441624112,0.9649999999999999
15,15,63,same-settings,0.036965337432255704,0.1199358103885537,0.7959441146852991,0.9796880814764235,0.95
15,15,63,frozen-mass-global,0.03702761130666153,0.11938735659396837,0.799657894672795,0.9753030368259975,0.9388144016265869
15,15,63,frozen-temperature,0.03636981039787878,0.11754417088296679,0.8026167768847109,0.9743989214064583,0.95
15,15,63,frozen-top-p,0.03683668110955743,0.11897719284844777,0.8013012627316134,0.9733173809354267,0.9312499999999999
15,15,63,frozen-joint,0.03614949935396749,0.11698831709486152,0.8015593234851314,0.9760236380592225,0.9649999999999999
