quant,fold,test_chunks,inner_validation_chunks,train_positions,test_positions,method,reference_temperature,reference_top_p,candidate_temperature,selected_groups,selected_enabled,entropy_thresholds,candidate_top_ps,sampler_js,sampler_tv,sampler_support_jaccard,reference_mass_in_candidate_support,mean_candidate_top_p
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,same-settings,0.8,0.95,0.8,0,True,,,0.06971547860533946,0.22433475031709624,0.6073216638811149,0.9606129629980951,0.95
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,mass-global,0.8,0.95,0.8,1,True,,0.939113,0.06934066481092789,0.22301966439200832,0.6328479906559554,0.951124427219232,0.9391125440597534
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,mass-conditioned-forced,0.8,0.95,0.8,2,True,1.825054,0.920061+0.948271,0.06982688286567167,0.22324168136055095,0.6276002851873277,0.949458175590114,0.9337743562128809
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,mass-conditioned-selected,0.8,0.95,0.8,2,False,,0.939113,0.06934066481092789,0.22301966439200832,0.6328479906559554,0.951124427219232,0.9391125440597534
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,tuned-temperature,0.8,0.95,0.7600000000000001,0,True,,,0.06818539043201276,0.22014503270971575,0.6412297272541774,0.9468568746769239,0.95
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,tuned-top-p,0.8,0.95,0.8,0,True,,,0.06921473139548667,0.22258773371983792,0.64114750136613,0.9480749505852896,0.9349999999999999
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,tuned-temperature-top-p,0.8,0.95,0.7400000000000001,0,True,,,0.06778031253876786,0.21983056458725875,0.6326070266557872,0.9510766228749639,0.96
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,same-settings,0.8,0.95,0.8,0,True,,,0.061368229457695544,0.19926485937598737,0.6326238503985943,0.9620963055344801,0.95
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,mass-global,0.8,0.95,0.8,1,True,,0.940496,0.060799188772978685,0.1977279672347423,0.657018030103089,0.9558596022663608,0.9404963254928589
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,mass-conditioned-forced,0.8,0.95,0.8,2,True,1.867714,0.926415+0.948746,0.06094854777331911,0.19738325620040534,0.6556293519520493,0.9554343042629105,0.9360298208064504
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,mass-conditioned-selected,0.8,0.95,0.8,2,True,1.867714,0.926415+0.948746,0.06094854777331911,0.19738325620040534,0.6556293519520493,0.9554343042629105,0.9360298208064504
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,tuned-temperature,0.8,0.95,0.7650000000000001,0,True,,,0.059593447449832825,0.19463193546315388,0.6650158168357158,0.953114106127667,0.95
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,tuned-top-p,0.8,0.95,0.8,0,True,,,0.06055108993037027,0.1964733122020132,0.672679576993039,0.9482972463445057,0.9299999999999999
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,tuned-temperature-top-p,0.8,0.95,0.7450000000000001,0,True,,,0.0592266841230744,0.19406025590641157,0.6553272810312329,0.9559939658003194,0.96
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,same-settings,0.8,0.95,0.8,0,True,,,0.06371227174133223,0.2128078797998439,0.6379901286875875,0.9605521229760987,0.95
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,mass-global,0.8,0.95,0.8,1,True,,0.938767,0.06333068260914482,0.21145533267704267,0.6690180830974144,0.9497449501816716,0.9387668371200562
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,mass-conditioned-forced,0.8,0.95,0.8,4,True,0.756840+1.762546+2.648910,0.831969+0.943569+0.948479+0.946807,0.06417034382309159,0.21321001555401062,0.6445567777190317,0.9524133722519591,0.9203058082669501
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,mass-conditioned-selected,0.8,0.95,0.8,4,False,,0.938767,0.06333068260914482,0.21145533267704267,0.6690180830974144,0.9497449501816716,0.9387668371200562
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,tuned-temperature,0.8,0.95,0.7650000000000001,0,True,,,0.06230172132543683,0.20886653789599974,0.6712826381324084,0.9477357841318562,0.95
