quant,block,chunks,positions,method,candidate_temperature,candidate_top_p,sampler_js,sampler_tv,sampler_support_jaccard
Q2_K_XL,0,0+1+2+3+4+5+6+7,504,frozen-joint,0.72875,0.9649999999999999,0.05910661607084053,0.16640909323062275,0.719469376589728
Q2_K_XL,0,0+1+2+3+4+5+6+7,504,frozen-temperature,0.7625000000000002,0.95,0.05911041882505482,0.1661711256814352,0.7278631470439729
Q2_K_XL,0,0+1+2+3+4+5+6+7,504,frozen-top-p,0.8,0.9312499999999999,0.05944458912551728,0.16673222814117455,0.7310616049014053
Q2_K_XL,0,0+1+2+3+4+5+6+7,504,same-settings,0.8,0.95,0.05964382810311185,0.16822487167969702,0.7105777430794212
Q2_K_XL,1,8+9+10+11+12+13+14+15,504,frozen-joint,0.72875,0.9649999999999999,0.04787805051865501,0.15477898344951904,0.7298769816342868
Q2_K_XL,1,8+9+10+11+12+13+14+15,504,frozen-temperature,0.7625000000000002,0.95,0.048176719137884336,0.1547593289380154,0.7346884636458313
Q2_K_XL,1,8+9+10+11+12+13+14+15,504,frozen-top-p,0.8,0.9312499999999999,0.04856646110375362,0.15549881157598325,0.7369136636851118
Q2_K_XL,1,8+9+10+11+12+13+14+15,504,same-settings,0.8,0.95,0.04846589861758802,0.15661334248984027,0.718460319649
Q2_K_XL,2,16+17+18+19+20+21+22+23,504,frozen-joint,0.72875,0.9649999999999999,0.04447834743257498,0.14443559820083754,0.7442708891307516
Q2_K_XL,2,16+17+18+19+20+21+22+23,504,frozen-temperature,0.7625000000000002,0.95,0.04475307055829381,0.14505836003947825,0.7496939661748447
Q2_K_XL,2,16+17+18+19+20+21+22+23,504,frozen-top-p,0.8,0.9312499999999999,0.04542350668859962,0.14653297803837748,0.7505878294043727
Q2_K_XL,2,16+17+18+19+20+21+22+23,504,same-settings,0.8,0.95,0.04540807465378921,0.14762236995415556,0.7334901727363635
Q2_K_XL,3,24+25+26+27+28+29+30+31,504,frozen-joint,0.72875,0.9649999999999999,0.05109626800376212,0.15855407197257534,0.7279087360694513
Q2_K_XL,3,24+25+26+27+28+29+30+31,504,frozen-temperature,0.7625000000000002,0.95,0.051473237564846744,0.1586433226475492,0.7341452623214764
Q2_K_XL,3,24+25+26+27+28+29+30+31,504,frozen-top-p,0.8,0.9312499999999999,0.05205736316438849,0.15953836055834675,0.734225608936128
Q2_K_XL,3,24+25+26+27+28+29+30+31,504,same-settings,0.8,0.95,0.05162395306003404,0.16061042818529087,0.7178417975556206
Q4_K_XL,0,0+1+2+3+4+5+6+7,504,frozen-joint,0.7812500000000001,0.9562499999999999,0.00537368394379738,0.03876091924030334,0.9155479800270053
Q4_K_XL,0,0+1+2+3+4+5+6+7,504,frozen-temperature,0.7950000000000002,0.95,0.005354706008332984,0.03858182641921476,0.9213561197077269
Q4_K_XL,0,0+1+2+3+4+5+6+7,504,frozen-top-p,0.8,0.95,0.005434493945033735,0.03873007047906636,0.9184237458569051
Q4_K_XL,0,0+1+2+3+4+5+6+7,504,same-settings,0.8,0.95,0.005434493945033735,0.03873007047906636,0.9184237458569051
Q4_K_XL,1,8+9+10+11+12+13+14+15,504,frozen-joint,0.7812500000000001,0.9562499999999999,0.005872793314189212,0.042313947390380593,0.9069991084771236
Q4_K_XL,1,8+9+10+11+12+13+14+15,504,frozen-temperature,0.7950000000000002,0.95,0.005814249899485514,0.041964118829041365,0.9110007285087619
Q4_K_XL,1,8+9+10+11+12+13+14+15,504,frozen-top-p,0.8,0.95,0.005857856571382731,0.042033923722411846,0.9094309103245882
Q4_K_XL,1,8+9+10+11+12+13+14+15,504,same-settings,0.8,0.95,0.005857856571382731,0.042033923722411846,0.9094309103245882
Q4_K_XL,2,16+17+18+19+20+21+22+23,504,frozen-joint,0.7812500000000001,0.9562499999999999,0.004915194469448117,0.03648421794937421,0.912115170987531
Q4_K_XL,2,16+17+18+19+20+21+22+23,504,frozen-temperature,0.7950000000000002,0.95,0.004922376138907451,0.03635205240136692,0.9133489040734395
Q4_K_XL,2,16+17+18+19+20+21+22+23,504,frozen-top-p,0.8,0.95,0.004936352636797264,0.03651498832706628,0.9138327225238969
Q4_K_XL,2,16+17+18+19+20+21+22+23,504,same-settings,0.8,0.95,0.004936352636797264,0.03651498832706628,0.9138327225238969
Q4_K_XL,3,24+25+26+27+28+29+30+31,504,frozen-joint,0.7812500000000001,0.9562499999999999,0.005640235001862046,0.041543037346046835,0.9033995663917628
Q4_K_XL,3,24+25+26+27+28+29+30+31,504,frozen-temperature,0.7950000000000002,0.95,0.005730185607854577,0.04134024087328553,0.9033412530313106
Q4_K_XL,3,24+25+26+27+28+29+30+31,504,frozen-top-p,0.8,0.95,0.005699577871898746,0.04122976507134144,0.9053221706245449
Q4_K_XL,3,24+25+26+27+28+29+30+31,504,same-settings,0.8,0.95,0.005699577871898746,0.04122976507134144,0.9053221706245449
Q8_K_XL,0,0+1+2+3+4+5+6+7,504,frozen-joint,0.8000000000000002,0.95,0.0004674234227105256,0.008046099149699634,0.9848513122287568
Q8_K_XL,0,0+1+2+3+4+5+6+7,504,frozen-temperature,0.8000000000000002,0.95,0.0004674234227105256,0.008046099149699634,0.9848513122287568
Q8_K_XL,0,0+1+2+3+4+5+6+7,504,frozen-top-p,0.8,0.95,0.0004674234227105256,0.008046099149699634,0.9848513122287568
Q8_K_XL,0,0+1+2+3+4+5+6+7,504,same-settings,0.8,0.95,0.0004674234227105256,0.008046099149699634,0.9848513122287568
Q8_K_XL,1,8+9+10+11+12+13+14+15,504,frozen-joint,0.8000000000000002,0.95,0.0005921952550942305,0.009680381906773186,0.9792274863128771
Q8_K_XL,1,8+9+10+11+12+13+14+15,504,frozen-temperature,0.8000000000000002,0.95,0.0005921952550942305,0.009680381906773186,0.9792274863128771
Q8_K_XL,1,8+9+10+11+12+13+14+15,504,frozen-top-p,0.8,0.95,0.0005921952550942305,0.009680381906773186,0.9792274863128771
Q8_K_XL,1,8+9+10+11+12+13+14+15,504,same-settings,0.8,0.95,0.0005921952550942305,0.009680381906773186,0.9792274863128771
Q8_K_XL,2,16+17+18+19+20+21+22+23,504,frozen-joint,0.8000000000000002,0.95,0.0005435495968774217,0.008071022145154457,0.9789314185108219
Q8_K_XL,2,16+17+18+19+20+21+22+23,504,frozen-temperature,0.8000000000000002,0.95,0.0005435495968774217,0.008071022145154457,0.9789314185108219
Q8_K_XL,2,16+17+18+19+20+21+22+23,504,frozen-top-p,0.8,0.95,0.0005435495968774217,0.008071022145154457,0.9789314185108219
Q8_K_XL,2,16+17+18+19+20+21+22+23,504,same-settings,0.8,0.95,0.0005435495968774217,0.008071022145154457,0.9789314185108219
Q8_K_XL,3,24+25+26+27+28+29+30+31,504,frozen-joint,0.8000000000000002,0.95,0.0006581217443100387,0.009021756446195973,0.9750120211327251
Q8_K_XL,3,24+25+26+27+28+29+30+31,504,frozen-temperature,0.8000000000000002,0.95,0.0006581217443100387,0.009021756446195973,0.9750120211327251
Q8_K_XL,3,24+25+26+27+28+29+30+31,504,frozen-top-p,0.8,0.95,0.0006581217443100387,0.009021756446195973,0.9750120211327251
Q8_K_XL,3,24+25+26+27+28+29+30+31,504,same-settings,0.8,0.95,0.0006581217443100387,0.009021756446195973,0.9750120211327251
