quant,block,chunks,positions,method,candidate_temperature,candidate_top_p,sampler_js,sampler_tv,sampler_support_jaccard
Q2_K_XL,0,0,63,frozen-joint,0.72875,0.9649999999999999,0.10509004033658476,0.29813989050804623,0.5861880771336745
Q2_K_XL,0,0,63,frozen-temperature,0.7625000000000002,0.95,0.10547482488410813,0.29794336500621976,0.5934129822572688
Q2_K_XL,0,0,63,frozen-top-p,0.8,0.9312499999999999,0.10603330220790609,0.2990946028204191,0.5980758683660462
Q2_K_XL,0,0,63,same-settings,0.8,0.95,0.10732788795102684,0.30186175152895944,0.5491169452321413
Q2_K_XL,1,1,63,frozen-joint,0.72875,0.9649999999999999,0.06089649715235398,0.17615020269202808,0.7455198998338939
Q2_K_XL,1,1,63,frozen-temperature,0.7625000000000002,0.95,0.06031054361457271,0.1760913266962956,0.750360204146229
Q2_K_XL,1,1,63,frozen-top-p,0.8,0.9312499999999999,0.0611190543184796,0.17751431270014673,0.7515492321482835
Q2_K_XL,1,1,63,same-settings,0.8,0.95,0.06033894679109965,0.17693397869902944,0.746798137893049
Q2_K_XL,2,2,63,frozen-joint,0.72875,0.9649999999999999,0.04783052110689737,0.12154327823765694,0.8165804342561249
Q2_K_XL,2,2,63,frozen-temperature,0.7625000000000002,0.95,0.04823042810451062,0.12164380262413668,0.8242061273079409
Q2_K_XL,2,2,63,frozen-top-p,0.8,0.9312499999999999,0.047908775127744156,0.12127360119114793,0.8309397969041683
Q2_K_XL,2,2,63,same-settings,0.8,0.95,0.04848565457994857,0.12330503152712943,0.8089232879099849
Q2_K_XL,3,3,63,frozen-joint,0.72875,0.9649999999999999,0.06911577553200048,0.17066934503733167,0.6740896261038529
Q2_K_XL,3,3,63,frozen-temperature,0.7625000000000002,0.95,0.06853804375356366,0.17013362505369717,0.708539341662591
Q2_K_XL,3,3,63,frozen-top-p,0.8,0.9312499999999999,0.06874217971095017,0.170954781244435,0.7212532746846472
Q2_K_XL,3,3,63,same-settings,0.8,0.95,0.07036379018857603,0.17538990373057978,0.6640931796320267
Q2_K_XL,4,4,63,frozen-joint,0.72875,0.9649999999999999,0.0650409804398401,0.17000321783716715,0.6807477310057802
Q2_K_XL,4,4,63,frozen-temperature,0.7625000000000002,0.95,0.06507652388545611,0.1700761973384827,0.6783231666229551
Q2_K_XL,4,4,63,frozen-top-p,0.8,0.9312499999999999,0.06555309297797816,0.17073992666389262,0.6776154316812155
Q2_K_XL,4,4,63,same-settings,0.8,0.95,0.06503514305777139,0.17121016328770017,0.6780380773934026
Q2_K_XL,5,5,63,frozen-joint,0.72875,0.9649999999999999,0.046522781918091435,0.13498879407369901,0.7440004148851463
Q2_K_XL,5,5,63,frozen-temperature,0.7625000000000002,0.95,0.0462289928968641,0.13373066674149225,0.7529706984635121
Q2_K_XL,5,5,63,frozen-top-p,0.8,0.9312499999999999,0.04642950870939309,0.13346372621636543,0.7485705543860163
Q2_K_XL,5,5,63,same-settings,0.8,0.95,0.04567845829112071,0.13351789205556824,0.7504244614139264
Q2_K_XL,6,6,63,frozen-joint,0.72875,0.9649999999999999,0.04436354238229493,0.1456438268993109,0.7293192452016432
Q2_K_XL,6,6,63,frozen-temperature,0.7625000000000002,0.95,0.04455141388692908,0.14448868344345736,0.7390864883168146
