chunk,method,head,strength,kl,js,tv,top1_agreement,top10_overlap
0,identity,0,0.0,0.35898461140921367,0.08311877704161613,0.28655974749643875,0.5873015873015873,0.7
0,output-head-sidecar,256,1.0,0.35733319042802103,0.08276812186089061,0.285766377959503,0.5873015873015873,0.7047619047619046
1,identity,0,0.0,0.21239786586594409,0.05201038475525632,0.17994099707946243,0.7777777777777778,0.703174603174603
1,output-head-sidecar,256,1.0,0.21489196240087502,0.0525445808132587,0.18110527458685238,0.7777777777777778,0.703174603174603
2,identity,0,0.0,0.17833410451074752,0.03926237301439167,0.1309086865832421,0.873015873015873,0.7555555555555554
2,output-head-sidecar,256,1.0,0.17587767683650624,0.03880432275450502,0.12983307611479436,0.873015873015873,0.7619047619047616
3,identity,0,0.0,0.2822677170427466,0.06550403722979224,0.1950466020306709,0.8095238095238095,0.6984126984126984
3,output-head-sidecar,256,1.0,0.28368816708744915,0.06566622282875798,0.1954299088439069,0.7936507936507936,0.6984126984126984
4,identity,0,0.0,0.24175788397342474,0.05620725734325384,0.18602625204215337,0.8571428571428571,0.7253968253968256
4,output-head-sidecar,256,1.0,0.239142293076622,0.05559752974987994,0.18478064090416568,0.873015873015873,0.7301587301587302
5,identity,0,0.0,0.1580995082370623,0.03718023859134215,0.14556777287997114,0.873015873015873,0.7492063492063491
5,output-head-sidecar,256,1.0,0.1575398716822891,0.037061038582333054,0.14485717186471447,0.8571428571428571,0.7523809523809524
6,identity,0,0.0,0.1495985792504461,0.033019438067871276,0.14602794752378637,0.7936507936507936,0.7857142857142858
6,output-head-sidecar,256,1.0,0.14978755868085297,0.03305267590515122,0.1461575815862041,0.8095238095238095,0.7873015873015874
7,identity,0,0.0,0.13201452221579124,0.03074133730193093,0.13442801752512062,0.9206349206349206,0.7634920634920636
7,output-head-sidecar,256,1.0,0.13231774706010974,0.03079516128910034,0.13439069990330146,0.9206349206349206,0.7603174603174603
8,identity,0,0.0,0.16326458399037488,0.03818255164110053,0.14990605675819327,0.8253968253968254,0.7587301587301587
8,output-head-sidecar,256,1.0,0.16471494165099493,0.03852739779573052,0.15102703485859414,0.8253968253968254,0.7587301587301587
9,identity,0,0.0,0.13931199623847432,0.03281125299895754,0.14209975549694343,0.873015873015873,0.7476190476190475
9,output-head-sidecar,256,1.0,0.1406099863933854,0.03314986793024189,0.14327218111914894,0.873015873015873,0.746031746031746
10,identity,0,0.0,0.16973725849317226,0.039077650945684925,0.16947534063827277,0.7936507936507936,0.7603174603174603
10,output-head-sidecar,256,1.0,0.16735158496515987,0.03846859137376582,0.1676510683249771,0.8095238095238095,0.7619047619047618
11,identity,0,0.0,0.17066969484966693,0.041410525282752506,0.17885826208299796,0.8571428571428571,0.7365079365079363
11,output-head-sidecar,256,1.0,0.17000122423863984,0.041206924945274497,0.17826482206712374,0.8571428571428571,0.7333333333333333
12,identity,0,0.0,0.24157547686823702,0.054980948473033975,0.21844320466080386,0.746031746031746,0.746031746031746
12,output-head-sidecar,256,1.0,0.2402723841812639,0.05481487146671353,0.21879976185127384,0.7301587301587301,0.7476190476190475
13,identity,0,0.0,0.20502522161543657,0.050448634648077244,0.18723083123814643,0.873015873015873,0.7444444444444446
13,output-head-sidecar,256,1.0,0.20642199298890773,0.05076069317891822,0.18776951116322177,0.8412698412698413,0.7476190476190476
14,identity,0,0.0,0.11473896053755038,0.028002429118873445,0.1268947158327108,0.873015873015873,0.7841269841269841
14,output-head-sidecar,256,1.0,0.1144431533478108,0.027845790934291487,0.12671697770553966,0.873015873015873,0.7841269841269841
15,identity,0,0.0,0.13255983339273833,0.03240742839211129,0.13260833835501837,0.9047619047619048,0.7460317460317459
15,output-head-sidecar,256,1.0,0.1328484295229409,0.03249237635248839,0.1327478857959264,0.9047619047619048,0.7412698412698411
16,identity,0,0.0,0.1482121334580976,0.03508669371424889,0.14801920655355344,0.8888888888888888,0.7555555555555555
16,output-head-sidecar,256,1.0,0.14794092172225992,0.03503089800231839,0.14742208169084892,0.8888888888888888,0.7523809523809524
17,identity,0,0.0,0.1194432800643087,0.030789449948647487,0.14744947664070104,0.873015873015873,0.7888888888888889
17,output-head-sidecar,256,1.0,0.11853506902994085,0.03052848143783021,0.1467221624750112,0.8888888888888888,0.7857142857142857
18,identity,0,0.0,0.17403554333193622,0.04273705961779544,0.1794410046873126,0.8253968253968254,0.7555555555555555
18,output-head-sidecar,256,1.0,0.17349272422105724,0.04268671863911867,0.1786685826793531,0.8412698412698413,0.7507936507936508
19,identity,0,0.0,0.1704865397815223,0.03860359376914049,0.17100598794289879,0.8253968253968254,0.7539682539682541
19,output-head-sidecar,256,1.0,0.16942208251150856,0.038425407549925336,0.17082356109601696,0.8412698412698413,0.7523809523809526
20,identity,0,0.0,0.1020063348240376,0.024134349623463572,0.11405027983259754,0.9047619047619048,0.7682539682539683
20,output-head-sidecar,256,1.0,0.1014205178440274,0.02402330334840256,0.11378150945794972,0.9206349206349206,0.7682539682539683
21,identity,0,0.0,0.16436789067746657,0.03765970632674806,0.16486892175106777,0.8571428571428571,0.765079365079365
21,output-head-sidecar,256,1.0,0.16381120886875405,0.03748273964470533,0.16437835385653352,0.8571428571428571,0.765079365079365
22,identity,0,0.0,0.21351809698593108,0.04599090528432816,0.1719626155843596,0.8888888888888888,0.7555555555555554
22,output-head-sidecar,256,1.0,0.2124472512692187,0.04565757875648809,0.17091954508491436,0.8888888888888888,0.7523809523809524
23,identity,0,0.0,0.17707017404782596,0.033235412310955684,0.13532708583968794,0.873015873015873,0.765079365079365
23,output-head-sidecar,256,1.0,0.175363047377138,0.0328371116882495,0.1341568586314448,0.873015873015873,0.7634920634920633
24,identity,0,0.0,0.13610069014664208,0.03003144261889709,0.12929843361087565,0.9206349206349206,0.7365079365079366
24,output-head-sidecar,256,1.0,0.13555634988271834,0.0299881846215338,0.1298079334059915,0.9206349206349206,0.7396825396825397
25,identity,0,0.0,0.18046210392005002,0.04176749388993596,0.17809529383001582,0.8095238095238095,0.7999999999999999
25,output-head-sidecar,256,1.0,0.180789230635301,0.041788946534830354,0.17784718240404296,0.7936507936507936,0.792063492063492
26,identity,0,0.0,0.2562551475548678,0.05330233975345191,0.19617814797496225,0.7777777777777778,0.7428571428571428
26,output-head-sidecar,256,1.0,0.25659533311824945,0.0531810846240234,0.1962936811088141,0.7777777777777778,0.7444444444444446
27,identity,0,0.0,0.22004992395107234,0.05198352973093279,0.19949734342166237,0.8095238095238095,0.7555555555555554
27,output-head-sidecar,256,1.0,0.22204153937110233,0.052343456703330585,0.20044324453550552,0.8095238095238095,0.7555555555555554
28,identity,0,0.0,0.16817225408574035,0.04077886914710111,0.18310668597474605,0.7142857142857143,0.7603174603174603
28,output-head-sidecar,256,1.0,0.169809103856558,0.04116390470361304,0.18382629774887824,0.7301587301587301,0.7634920634920636
29,identity,0,0.0,0.11027350930765221,0.028601543958964772,0.1104521518793176,0.9523809523809523,0.7952380952380953
29,output-head-sidecar,256,1.0,0.1095155326278877,0.02838799124183352,0.11000660900046771,0.9523809523809523,0.7936507936507936
30,identity,0,0.0,0.17802743478086852,0.04116456786222342,0.17475438228113546,0.8571428571428571,0.8063492063492064
30,output-head-sidecar,256,1.0,0.177137690267363,0.040951967218591435,0.17276559007679304,0.8571428571428571,0.807936507936508
31,identity,0,0.0,0.1660715491083725,0.04052326230623929,0.16528413474715928,0.8571428571428571,0.7682539682539681
31,output-head-sidecar,256,1.0,0.16503676929162808,0.04026952424406874,0.16417419004874462,0.8571428571428571,0.7730158730158728
