quant,fold,test_chunks,calibration_positions,test_positions,method,reference_temperature,reference_top_p,candidate_temperature,candidate_top_p,training_js,sampler_js,sampler_tv,sampler_support_jaccard
Q2_K_XL,0,0+1+2+3+4+5+6+7,256,504,same-settings,0.8,0.95,0.8,0.95,,0.07021425424456884,0.22567592699095487,0.6049818456420771
Q2_K_XL,0,0+1+2+3+4+5+6+7,256,504,tuned-temperature,0.8,0.95,0.7600000000000001,0.95,0.06616290546003256,0.06861706210428753,0.22136351891371997,0.6399417909303035
Q2_K_XL,0,0+1+2+3+4+5+6+7,256,504,tuned-temperature-top-p,0.8,0.95,0.7400000000000001,0.96,0.06581854195516712,0.06822917636415536,0.22102405703885275,0.6306638001890649
Q2_K_XL,0,0+1+2+3+4+5+6+7,256,504,tuned-top-p,0.8,0.95,0.8,0.9349999999999999,0.06720842304048347,0.06966515995390225,0.2238681555174971,0.639997182499005
Q2_K_XL,1,8+9+10+11+12+13+14+15,256,504,same-settings,0.8,0.95,0.8,0.95,,0.06101609188379602,0.1988249463602043,0.6362982940664564
Q2_K_XL,1,8+9+10+11+12+13+14+15,256,504,tuned-temperature,0.8,0.95,0.7650000000000001,0.95,0.06885791867466651,0.05927169543055141,0.193986410082924,0.6677075061652856
Q2_K_XL,1,8+9+10+11+12+13+14+15,256,504,tuned-temperature-top-p,0.8,0.95,0.7450000000000001,0.96,0.06849888591884223,0.058898836626400546,0.1934179616426783,0.6582441407307075
Q2_K_XL,1,8+9+10+11+12+13+14+15,256,504,tuned-top-p,0.8,0.95,0.8,0.9299999999999999,0.06958719579643002,0.060229123852401416,0.1959879525922357,0.6751729402813768
Q2_K_XL,2,16+17+18+19+20+21+22+23,256,504,same-settings,0.8,0.95,0.8,0.95,,0.06356603605464832,0.21260675196240228,0.6374802454481104
Q2_K_XL,2,16+17+18+19+20+21+22+23,256,504,tuned-temperature,0.8,0.95,0.7550000000000001,0.95,0.06654001150309341,0.06224529199460535,0.20821735704694652,0.6722086682131181
