quant,block,chunks,positions,method,candidate_temperature,candidate_top_p,sampler_js,sampler_tv,sampler_support_jaccard
Q2_K_XL,0,0,63,frozen-joint,0.7275,0.965,0.1051039017130813,0.2983635226412425,0.5882335605614977
Q2_K_XL,0,0,63,frozen-temperature,0.76,0.95,0.10528275083809618,0.29782850035126246,0.5976902217828322
Q2_K_XL,0,0,63,frozen-top-p,0.8,0.93125,0.10598332347673556,0.29847189795876305,0.598855005682727
Q2_K_XL,0,0,63,same-settings,0.8,0.95,0.10729784517002011,0.30105307414418175,0.549925767571178
Q2_K_XL,1,1,63,frozen-joint,0.7275,0.965,0.060477833832717605,0.17535354761732003,0.7485873311793176
Q2_K_XL,1,1,63,frozen-temperature,0.76,0.95,0.06022703877857162,0.17546762561514265,0.7506364273170996
Q2_K_XL,1,1,63,frozen-top-p,0.8,0.93125,0.06071916741452047,0.17669961205314075,0.7540305099629945
Q2_K_XL,1,1,63,same-settings,0.8,0.95,0.05989800889547619,0.17606616250815846,0.7498211610621363
Q2_K_XL,2,2,63,frozen-joint,0.7275,0.965,0.04785955819996104,0.12229098574746222,0.8197233148360968
Q2_K_XL,2,2,63,frozen-temperature,0.76,0.95,0.04818619325357888,0.122269037017037,0.8282816419841897
Q2_K_XL,2,2,63,frozen-top-p,0.8,0.93125,0.04789301321753079,0.12188147780086313,0.8314906653879086
Q2_K_XL,2,2,63,same-settings,0.8,0.95,0.04846874745340929,0.1240753164248807,0.8092446622038827
Q2_K_XL,3,3,63,frozen-joint,0.7275,0.965,0.06905537157777757,0.17040931303349752,0.6834558287252523
Q2_K_XL,3,3,63,frozen-temperature,0.76,0.95,0.06851158899787281,0.16971996967636405,0.719570420760897
Q2_K_XL,3,3,63,frozen-top-p,0.8,0.93125,0.06868790019403345,0.17052284299972512,0.7332128570523929
Q2_K_XL,3,3,63,same-settings,0.8,0.95,0.07020849924135421,0.17499307513473525,0.673176947317945
Q2_K_XL,4,4,63,frozen-joint,0.7275,0.965,0.06535028366534601,0.16987848104465575,0.6805179545049198
Q2_K_XL,4,4,63,frozen-temperature,0.76,0.95,0.06538195206251528,0.169877772086433,0.6769414235323975
Q2_K_XL,4,4,63,frozen-top-p,0.8,0.93125,0.06592042411544494,0.17073905358593616,0.6762531361072682
Q2_K_XL,4,4,63,same-settings,0.8,0.95,0.06535939314210462,0.17121992091692628,0.6772757595573318
Q2_K_XL,5,5,63,frozen-joint,0.7275,0.965,0.04662653414296016,0.13532034304761698,0.7541350240722492
Q2_K_XL,5,5,63,frozen-temperature,0.76,0.95,0.04646741167923051,0.13440037648829203,0.753340487505854
Q2_K_XL,5,5,63,frozen-top-p,0.8,0.93125,0.046585748659535534,0.13415781976211638,0.7494586931781622
Q2_K_XL,5,5,63,same-settings,0.8,0.95,0.04585286376938697,0.13425547316197364,0.7507846754668209
Q2_K_XL,6,6,63,frozen-joint,0.7275,0.965,0.04423459596462578,0.1451828796120863,0.7300579390326036
Q2_K_XL,6,6,63,frozen-temperature,0.76,0.95,0.04443271833819352,0.14415333674304068,0.7385387617376616
Q2_K_XL,6,6,63,frozen-top-p,0.8,0.93125,0.04500310207598857,0.14463890846523028,0.7379901590421287
Q2_K_XL,6,6,63,same-settings,0.8,0.95,0.0452544372307048,0.14655315536000427,0.7150839202195746
Q2_K_XL,7,7,63,frozen-joint,0.7275,0.965,0.03448105099359675,0.11517793648240585,0.7795987314846317
Q2_K_XL,7,7,63,frozen-temperature,0.76,0.95,0.03490954949446614,0.11627945414788667,0.7761976188936356
Q2_K_XL,7,7,63,frozen-top-p,0.8,0.93125,0.03510300233767974,0.11681857997817653,0.7830085156265472
Q2_K_XL,7,7,63,same-settings,0.8,0.95,0.03500643841892717,0.11774871128773878,0.7729011140050522
Q2_K_XL,8,8,63,frozen-joint,0.7275,0.965,0.048715446225648364,0.14576858988711758,0.7358056696844832
Q2_K_XL,8,8,63,frozen-temperature,0.76,0.95,0.049883171694264525,0.14693780474009968,0.7345143067087276
Q2_K_XL,8,8,63,frozen-top-p,0.8,0.93125,0.0499987349483288,0.14764343128199614,0.7427167888376018
Q2_K_XL,8,8,63,same-settings,0.8,0.95,0.049641324151750835,0.14964555304438348,0.7206534023009815
Q2_K_XL,9,9,63,frozen-joint,0.7275,0.965,0.043770975071109004,0.1423638573300744,0.7772352403491749
Q2_K_XL,9,9,63,frozen-temperature,0.76,0.95,0.04340881940498505,0.14105270702450995,0.7880821609204975
Q2_K_XL,9,9,63,frozen-top-p,0.8,0.93125,0.04371627597119807,0.14229207684005063,0.7849430567707621
Q2_K_XL,9,9,63,same-settings,0.8,0.95,0.04372090801489466,0.14261445571624098,0.7748779175413176
Q2_K_XL,10,10,63,frozen-joint,0.7275,0.965,0.048066434720235446,0.16625135495430893,0.7272796064935089
Q2_K_XL,10,10,63,frozen-temperature,0.76,0.95,0.04778140275147817,0.16569186318370085,0.7462839017550761
Q2_K_XL,10,10,63,frozen-top-p,0.8,0.93125,0.04867570855957826,0.1666265112894868,0.7515604147196362
Q2_K_XL,10,10,63,same-settings,0.8,0.95,0.04924102641996883,0.168740748176499,0.7042466372047012
Q2_K_XL,11,11,63,frozen-joint,0.7275,0.965,0.04949145601131022,0.17025643729028248,0.6817495600416119
Q2_K_XL,11,11,63,frozen-temperature,0.76,0.95,0.04987506030519153,0.17070057432329844,0.6833113519291708
Q2_K_XL,11,11,63,frozen-top-p,0.8,0.93125,0.0505219054923925,0.17127798172453093,0.6862986730372872
Q2_K_XL,11,11,63,same-settings,0.8,0.95,0.05053547735322297,0.17293330808244053,0.6631633212057764
Q2_K_XL,12,12,63,frozen-joint,0.7275,0.965,0.07067349064163864,0.22231238217107832,0.6556410517007094
Q2_K_XL,12,12,63,frozen-temperature,0.76,0.95,0.07004172366393345,0.2200056036549901,0.6616152054018344
Q2_K_XL,12,12,63,frozen-top-p,0.8,0.93125,0.0704868496617391,0.2198561199364208,0.6465391352459797
Q2_K_XL,12,12,63,same-settings,0.8,0.95,0.06864122649107779,0.21857343519490863,0.656376917601411
Q2_K_XL,13,13,63,frozen-joint,0.7275,0.965,0.05610462740832378,0.16947863744719635,0.6981667118102478
Q2_K_XL,13,13,63,frozen-temperature,0.76,0.95,0.05676951093806161,0.17024568110586158,0.7110216267174687
Q2_K_XL,13,13,63,frozen-top-p,0.8,0.93125,0.057022629860079006,0.1700985613500788,0.729509108795656
